source,variable,word,n,m,sd
gem15,aoa,affair,10,6.1,0.04
gem15,aoa,aisle,10,4.75,0.1125
gem15,aoa,anchor,10,4.55,0.1725
gem15,aoa,anger,10,3.55,0.2225
gem15,aoa,ant,10,2.5,0.2
gem15,aoa,applause,10,5.05,0.0725
gem15,aoa,apple,10,1.85,0.0525
gem15,aoa,apron,10,4,0.3
gem15,aoa,arson,10,6.3,0.16
gem15,aoa,art,10,4.15,0.5525
gem15,aoa,artist,10,5.3,0.31
gem15,aoa,aspect,10,5.7,0.21
gem15,aoa,asthma,10,5.75,0.1625
gem15,aoa,attempt,10,4.5,0.2
gem15,aoa,author,10,5.65,0.5525
gem15,aoa,baby,10,1.1,0.04
gem15,aoa,balloon,10,2.75,0.0625
gem15,aoa,ban,10,4.35,1.1025
gem15,aoa,bandage,10,4.25,0.1625
gem15,aoa,basket,10,2.75,0.1625
gem15,aoa,battle,10,4.05,0.0725
gem15,aoa,bead,10,3.25,0.1125
gem15,aoa,beer,10,4.55,0.4725
gem15,aoa,beggar,10,5,0.1
gem15,aoa,belief,10,4.9,0.14
gem15,aoa,bitch,10,5.5,0.4
gem15,aoa,blame,10,4.35,0.2525
gem15,aoa,bliss,10,5,0.15
gem15,aoa,blister,10,4.45,0.2225
gem15,aoa,blood,10,2.85,0.2525
gem15,aoa,blouse,10,4.05,0.2725
gem15,aoa,boast,10,4.8,0.16
gem15,aoa,bondage,10,6.35,0.0525
gem15,aoa,bonnet,10,3.7,0.11
gem15,aoa,bounce,10,2.55,0.1225
gem15,aoa,bowel,10,5.7,0.26
gem15,aoa,bowl,10,2.75,0.2625
gem15,aoa,bracket,10,5.05,0.0725
gem15,aoa,breakfast,10,3.25,0.1125
gem15,aoa,breast,10,2.95,0.3225
gem15,aoa,bulge,10,4.85,0.2525
gem15,aoa,button,10,2.95,0.0225
gem15,aoa,camp,10,3.25,0.3125
gem15,aoa,cancer,10,5.9,0.09
gem15,aoa,candle,10,2.9,0.09
gem15,aoa,candy,10,2.1,0.09
gem15,aoa,canoe,10,4.2,0.16
gem15,aoa,carcass,10,6.05,0.0225
gem15,aoa,caress,10,4.65,0.2025
gem15,aoa,carpet,10,3.2,0.46
gem15,aoa,carriage,10,4.2,0.16
gem15,aoa,castle,10,3.95,0.2225
gem15,aoa,cattle,10,3.8,0.21
gem15,aoa,caution,10,4.6,0.14
gem15,aoa,cease,10,5.25,0.1625
gem15,aoa,ceiling,10,3.65,0.2025
gem15,aoa,chauffeur,10,6.25,0.0625
gem15,aoa,chest,10,2.9,0.39
gem15,aoa,chew,10,2.15,0.0525
gem15,aoa,child,10,1.7,0.16
gem15,aoa,chord,10,5.15,0.1025
gem15,aoa,circuit,10,5.6,0.19
gem15,aoa,city,10,3.35,0.3025
gem15,aoa,class,10,3.6,0.29
gem15,aoa,clergy,10,6.1,0.14
gem15,aoa,cloak,10,4.6,0.19
gem15,aoa,closure,10,5.9,0.14
gem15,aoa,clover,10,4.05,0.0225
gem15,aoa,coffin,10,5.25,0.1625
gem15,aoa,column,10,4.85,0.2525
gem15,aoa,comb,10,2.65,0.1025
gem15,aoa,compass,10,4.85,0.0525
gem15,aoa,complex,10,5.95,0.0225
gem15,aoa,concept,10,4.95,0.6225
gem15,aoa,consent,10,5.2,0.76
gem15,aoa,console,10,5.05,0.0725
gem15,aoa,contempt,10,6,0.25
gem15,aoa,context,10,5.7,0.26
gem15,aoa,contract,10,6,0.05
gem15,aoa,costume,10,4.3,0.16
gem15,aoa,cottage,10,4.2,0.11
gem15,aoa,cotton,10,3.1,0.29
gem15,aoa,couch,10,3.2,0.21
gem15,aoa,cough,10,2.6,0.24
gem15,aoa,county,10,5.25,0.1125
gem15,aoa,courage,10,4.55,0.3725
gem15,aoa,crab,10,2.95,0.1725
gem15,aoa,cricket,10,3.75,0.1125
gem15,aoa,crisis,10,6.05,0.0725
gem15,aoa,crude,10,5.2,0.11
gem15,aoa,crystal,10,4.75,0.1125
gem15,aoa,cuddle,10,3.3,0.21
gem15,aoa,culture,10,5.75,0.1625
gem15,aoa,cure,10,4.2,0.51
gem15,aoa,curtain,10,3.9,0.09
gem15,aoa,cushion,10,3.95,0.2225
gem15,aoa,dance,10,2.95,0.2225
gem15,aoa,dandruff,10,5.9,0.09
gem15,aoa,dare,10,2.75,0.1625
gem15,aoa,date,10,3.5,0.25
gem15,aoa,delight,10,3.4,0.19
gem15,aoa,desert,10,3.9,0.09
gem15,aoa,despair,10,5.7,0.36
gem15,aoa,dessert,10,3.8,0.11
gem15,aoa,device,10,4.6,0.19
gem15,aoa,dinner,10,3,0.4
gem15,aoa,disgust,10,4.6,0.19
gem15,aoa,doctor,10,4.05,0.1225
gem15,aoa,doctrine,10,6.3,1.01
gem15,aoa,donkey,10,3.2,0.16
gem15,aoa,doom,10,5.1,0.14
gem15,aoa,doubt,10,4.4,0.14
gem15,aoa,dread,10,4.8,0.41
gem15,aoa,duty,10,4.85,0.1025
gem15,aoa,ease,10,4.1,0.09
gem15,aoa,employ,10,5.55,0.1725
gem15,aoa,escort,10,5.55,0.2225
gem15,aoa,essence,10,5.9,0.14
gem15,aoa,excuse,10,4.5,0.15
gem15,aoa,faith,10,4.4,0.19
gem15,aoa,fame,9,5.055556,0.469136
gem15,aoa,farewell,10,5.1,0.14
gem15,aoa,fault,10,4.3,0.21
gem15,aoa,feat,10,4.9,0.04
gem15,aoa,fiction,10,5.55,0.1725
gem15,aoa,figment,10,5.75,0.5625
gem15,aoa,fire,10,2.1,0.04
gem15,aoa,flea,10,3.55,0.4225
gem15,aoa,fleet,10,4.7,0.41
gem15,aoa,flourish,10,5.9,0.09
gem15,aoa,food,10,1.85,0.1025
gem15,aoa,forehead,10,3.3,0.26
gem15,aoa,forge,10,5.3,0.16
gem15,aoa,fortress,10,5.85,0.1025
gem15,aoa,fraud,10,6,0.15
gem15,aoa,freedom,10,5.1,0.04
gem15,aoa,function,10,5.5,0.25
gem15,aoa,fuss,10,3.2,0.31
gem15,aoa,gain,10,4.35,0.2025
gem15,aoa,game,10,2.15,0.0525
gem15,aoa,garbage,10,3.65,0.2025
gem15,aoa,giraffe,10,3.85,0.3025
gem15,aoa,gist,10,5.65,0.1525
gem15,aoa,glacier,10,5.9,0.09
gem15,aoa,glee,10,4.7,0.21
gem15,aoa,gloom,10,5,0.15
gem15,aoa,goose,10,3.1,0.09
gem15,aoa,greed,10,5.35,0.1025
gem15,aoa,grind,10,4.15,0.1525
gem15,aoa,guilt,10,4.9,0.24
gem15,aoa,guitar,10,4.35,0.2025
gem15,aoa,hall,10,3.15,0.2525
