source,variable,word,n,m,sd
gem20,aoa,affair,10,5.7,0.5696
gem20,aoa,aisle,10,4.44,0.920386
gem20,aoa,anchor,10,4.52,0.626808
gem20,aoa,anger,10,3.6,0.459468
gem20,aoa,ant,10,2.05,0.283823
gem20,aoa,applause,10,5.16,0.437671
gem20,aoa,apple,10,1.73,0.249666
gem20,aoa,apron,10,3.25,0.540062
gem20,aoa,arson,10,6.25,0.824958
gem20,aoa,art,10,3.2,0.421637
gem20,aoa,artist,10,4.6,0.509902
gem20,aoa,aspect,10,5.54,0.427395
gem20,aoa,asthma,10,5.56,0.583476
gem20,aoa,attempt,10,4.31,0.680604
gem20,aoa,author,10,5.39,0.314289
gem20,aoa,baby,10,1.23,0.249666
gem20,aoa,balloon,10,2.51,0.317805
gem20,aoa,ban,10,4.36,0.830261
gem20,aoa,bandage,10,3.58,0.46619
gem20,aoa,basket,10,2.36,0.429987
gem20,aoa,battle,10,4.25,0.485913
gem20,aoa,bead,10,2.45,0.437798
gem20,aoa,beer,10,3.2,0.309121
gem20,aoa,beggar,10,4.59,0.560654
gem20,aoa,belief,10,5.09,0.401248
gem20,aoa,bitch,10,4.15,0.937194
gem20,aoa,blame,10,4.2,0.483046
gem20,aoa,bliss,10,5.59,0.398469
gem20,aoa,blister,10,3.95,0.368932
gem20,aoa,blood,10,2.32,0.496208
gem20,aoa,blouse,10,3.63,0.926223
gem20,aoa,boast,10,4.77,0.573585
gem20,aoa,bondage,10,6.52,0.33928
gem20,aoa,bonnet,10,4.31,0.806157
gem20,aoa,bounce,10,2.85,0.464878
gem20,aoa,bowel,10,5.45,0.797566
gem20,aoa,bowl,10,2.14,0.40332
gem20,aoa,bracket,10,5.41,0.532186
gem20,aoa,breakfast,10,2.58,0.285968
gem20,aoa,breast,10,2.9,0.809664
gem20,aoa,bulge,10,4.58,0.657943
gem20,aoa,button,10,2.04,0.164655
gem20,aoa,camp,10,2.81,0.428045
gem20,aoa,cancer,10,5.63,0.76165
gem20,aoa,candle,10,3.06,0.591044
gem20,aoa,candy,10,2.16,0.259058
gem20,aoa,canoe,10,4.2,0.507718
gem20,aoa,carcass,10,6.05,0.585472
gem20,aoa,caress,10,5.32,0.493964
gem20,aoa,carpet,10,2.68,0.407704
gem20,aoa,carriage,10,4.57,0.791693
gem20,aoa,castle,10,4.31,0.591514
gem20,aoa,cattle,10,3.63,0.424395
gem20,aoa,caution,10,5.23,0.588878
gem20,aoa,cease,10,5.43,0.561842
gem20,aoa,ceiling,10,3.24,0.514674
gem20,aoa,chauffeur,10,6.35,0.365908
gem20,aoa,chest,10,2.53,0.457165
gem20,aoa,chew,10,2.23,0.3093
gem20,aoa,child,10,1.7,0.258199
gem20,aoa,chord,10,5.23,0.611101
gem20,aoa,circuit,10,5.32,0.364539
gem20,aoa,city,10,2.93,0.245176
gem20,aoa,class,10,3.3,0.586894
gem20,aoa,clergy,10,6.45,0.598609
gem20,aoa,cloak,11,4.363636,0.777525
gem20,aoa,closure,10,5.35,0.474342
gem20,aoa,clover,9,3.677778,0.443784
gem20,aoa,coffin,10,5.85,0.474342
gem20,aoa,column,10,5.35,0.411636
gem20,aoa,comb,10,2.58,0.229976
gem20,aoa,compass,10,4.89,0.766594
gem20,aoa,complex,10,5.71,0.720262
gem20,aoa,concept,10,5.68,0.367575
gem20,aoa,consent,10,5.52,0.385285
gem20,aoa,console,10,5.2,0.586894
gem20,aoa,contempt,10,6.1,0.444722
gem20,aoa,context,10,6.02,0.487169
gem20,aoa,contract,10,5.59,0.404008
gem20,aoa,costume,10,3.44,0.440202
gem20,aoa,cottage,11,3.336364,0.452267
gem20,aoa,cotton,10,3.06,0.416867
gem20,aoa,couch,10,2.6,0.614636
gem20,aoa,cough,10,2.38,0.431535
gem20,aoa,county,10,4.71,0.867243
gem20,aoa,courage,10,4.74,0.432563
gem20,aoa,crab,10,2.55,0.368932
gem20,aoa,cricket,10,3.65,0.579751
gem20,aoa,crisis,10,5.83,0.388873
gem20,aoa,crude,10,5.04,0.267499
gem20,aoa,crystal,10,4.35,0.471993
gem20,aoa,cuddle,10,2.74,0.362706
gem20,aoa,culture,10,5.4,0.614636
gem20,aoa,cure,10,4.01,0.580134
gem20,aoa,curtain,10,3.08,0.198886
gem20,aoa,cushion,10,3.01,0.69033
gem20,aoa,dance,10,2.19,0.324722
gem20,aoa,dandruff,10,5.44,0.616802
gem20,aoa,dare,10,3.6,0.459468
gem20,aoa,date,10,2.99,0.409471
gem20,aoa,delight,10,4.12,0.53707
gem20,aoa,desert,10,3.84,0.450185
gem20,aoa,despair,10,5.77,0.590762
gem20,aoa,dessert,10,3.63,1.284134
gem20,aoa,device,10,4.18,0.301109
gem20,aoa,dinner,10,2.03,0.312872
gem20,aoa,disgust,10,4.55,0.437798
gem20,aoa,doctor,10,2.83,0.298329
gem20,aoa,doctrine,10,6.45,0.598609
gem20,aoa,donkey,10,2.89,0.260128
gem20,aoa,doom,10,5.47,0.512185
gem20,aoa,doubt,10,4.35,0.529675
gem20,aoa,dread,10,5.28,0.477959
gem20,aoa,duty,10,4.72,0.532917
gem20,aoa,ease,10,3.74,0.56999
gem20,aoa,employ,10,5.15,0.241523
gem20,aoa,escort,10,5.47,0.794495
gem20,aoa,essence,10,6.04,0.48808
gem20,aoa,excuse,10,4.25,0.589256
gem20,aoa,faith,10,4.94,0.424788
gem20,aoa,fame,10,5,0.46188
gem20,aoa,farewell,10,4.98,0.426354
gem20,aoa,fault,10,4.59,0.7325
gem20,aoa,feat,10,5.25,0.488194
gem20,aoa,fiction,10,5.7,0.588784
gem20,aoa,figment,10,6.51,0.372529
gem20,aoa,fire,10,1.9,0.316228
gem20,aoa,flea,10,3.02,0.694102
gem20,aoa,fleet,10,5,0.716473
gem20,aoa,flourish,10,6,0.666667
gem20,aoa,food,10,1.35,0.279881
gem20,aoa,forehead,10,3.45,0.984604
gem20,aoa,forge,10,5.09,0.47481
gem20,aoa,fortress,10,6.1,0.405518
gem20,aoa,fraud,10,5.99,0.280674
gem20,aoa,freedom,10,5.32,0.87661
gem20,aoa,function,10,5.43,0.411096
gem20,aoa,fuss,10,3.18,0.796939
gem20,aoa,gain,10,3.93,0.3653
gem20,aoa,game,10,2.13,0.34657
gem20,aoa,garbage,10,3.37,0.483161
gem20,aoa,giraffe,10,3.5,0.408248
gem20,aoa,gist,10,6.25,0.359784
gem20,aoa,glacier,10,5.82,0.480278
gem20,aoa,glee,10,5,0.867948
gem20,aoa,gloom,10,5.3,0.421637
gem20,aoa,goose,10,2.85,0.212132
gem20,aoa,greed,10,5.21,0.502107
gem20,aoa,grind,10,4.33,0.447338
gem20,aoa,guilt,10,5.26,0.648417
gem20,aoa,guitar,10,3.64,1.052193
gem20,aoa,hall,10,2.7,0.537484
gem20,aoa,ham,10,2.26,0.283627
gem20,aoa,hammock,10,4.02,0.498442
gem20,aoa,hand,10,1.47,0.30203
gem20,aoa,handle,10,2.65,0.411636
gem20,aoa,harvest,10,4.42,0.468568
gem20,aoa,hate,10,3.7,0.632456
gem20,aoa,head,10,1.7,0.286744
gem20,aoa,health,10,3.45,0.437798
gem20,aoa,heaven,10,4.58,0.584618
gem20,aoa,hit,10,2,0.333333
gem20,aoa,honey,10,2.3,0.258199
gem20,aoa,hope,10,3.35,0.411636
gem20,aoa,hostage,10,5.72,0.477959
gem20,aoa,hostess,10,4.41,0.617252
gem20,aoa,hurdle,10,5.13,0.518652
gem20,aoa,husband,10,3.78,0.651153
gem20,aoa,impress,10,5.51,0.33483
gem20,aoa,incest,10,6.91,0.191195
gem20,aoa,island,10,3.46,0.523238
gem20,aoa,issue,10,4.71,0.324722
gem20,aoa,item,10,4.26,0.535828
gem20,aoa,jacket,10,2.76,0.275681
gem20,aoa,jewel,10,4.05,0.158114
gem20,aoa,jungle,10,4.12,0.628579
gem20,aoa,junk,10,3.45,0.395109
gem20,aoa,justice,10,5.67,0.466786
gem20,aoa,kill,10,3.16,0.562139
gem20,aoa,knock,10,2.18,0.301109
gem20,aoa,knowledge,10,5.21,0.272641
gem20,aoa,lace,10,3.64,0.694742
gem20,aoa,ladder,10,2.77,0.374314
gem20,aoa,launch,10,4.1,0.316228
gem20,aoa,leaf,10,2.16,0.483506
gem20,aoa,leisure,10,5.12,0.42111
gem20,aoa,leopard,10,4.21,0.59339
gem20,aoa,lettuce,10,2.85,0.241523
gem20,aoa,limit,10,4.69,0.532186
gem20,aoa,line,10,2.15,0.271825
gem20,aoa,lobster,10,4.64,0.77201
gem20,aoa,luck,10,3.22,0.441714
gem20,aoa,luggage,10,3.52,0.439191
gem20,aoa,lumber,10,3.98,0.505085
gem20,aoa,lunch,10,2.57,0.434741
gem20,aoa,lust,10,5.79,0.77093
gem20,aoa,malice,10,6.05,0.422295
gem20,aoa,mammal,10,5.35,0.529675
gem20,aoa,mansion,10,4.81,0.585852
gem20,aoa,marvel,10,5.09,0.608185
gem20,aoa,mate,10,3.26,0.419524
gem20,aoa,melon,10,3.1,0.38873
gem20,aoa,menace,10,5.51,0.587745
gem20,aoa,merchant,10,5.53,0.427005
gem20,aoa,message,10,3.77,0.397352
gem20,aoa,metal,10,3.36,0.494862
gem20,aoa,methane,10,6.35,0.579751
gem20,aoa,method,10,5.31,0.428045
gem20,aoa,midst,10,6.04,0.416867
gem20,aoa,mirror,10,2.55,0.437798
gem20,aoa,mischief,10,4.76,0.347051
gem20,aoa,mistress,10,5.86,0.629285
gem20,aoa,model,10,4.15,0.625833
gem20,aoa,moisture,10,4.81,0.542525
gem20,aoa,moment,10,3.9,0.516398
gem20,aoa,monarch,10,6.28,0.454117
