source,variable,word,n,m,sd
gpt4,aoa,affair,10,5.77,0.2321
gpt4,aoa,aisle,10,4.97,0.1401
gpt4,aoa,anchor,10,3.94,0.4124
gpt4,aoa,anger,10,3.95,0.2025
gpt4,aoa,ant,10,2.03,0.1821
gpt4,aoa,applause,10,4.02,0.5176
gpt4,aoa,apple,10,1.5,0.118
gpt4,aoa,apron,10,3.8,0.424
gpt4,aoa,arson,10,6.39,0.3129
gpt4,aoa,art,10,3.68,0.3336
gpt4,aoa,artist,10,3.8,0.476
gpt4,aoa,aspect,10,5.63,0.1681
gpt4,aoa,asthma,10,5.79,0.2789
gpt4,aoa,attempt,10,4.86,0.1804
gpt4,aoa,author,10,4.96,0.2864
gpt4,aoa,baby,10,1.31,0.0889
gpt4,aoa,balloon,10,2.37,0.1361
gpt4,aoa,ban,10,4.6,0.316
gpt4,aoa,bandage,10,3.99,0.3949
gpt4,aoa,basket,10,2.88,0.1796
gpt4,aoa,battle,10,4.34,0.3824
gpt4,aoa,bead,10,2.84,0.1004
gpt4,aoa,beer,10,5.37,0.4321
gpt4,aoa,beggar,10,4.79,0.2689
gpt4,aoa,belief,10,4.38,0.0976
gpt4,aoa,bitch,10,6.09,0.2469
gpt4,aoa,blame,10,4.07,0.1341
gpt4,aoa,bliss,10,5.07,0.6481
gpt4,aoa,blister,10,5.1,0.31
gpt4,aoa,blood,10,2.91,0.3189
gpt4,aoa,blouse,10,3.51,0.2389
gpt4,aoa,boast,10,5.1,0.474
gpt4,aoa,bondage,10,6.48,0.1496
gpt4,aoa,bonnet,10,3.46,0.2124
gpt4,aoa,bounce,10,2.61,0.2729
gpt4,aoa,bowel,10,5.81,0.2529
gpt4,aoa,bowl,10,2.24,0.1324
gpt4,aoa,bracket,10,5.12,0.4696
gpt4,aoa,breakfast,10,2.12,0.1976
gpt4,aoa,breast,10,2.13,0.2121
gpt4,aoa,bulge,10,4.86,0.5664
gpt4,aoa,button,10,2.54,0.3164
gpt4,aoa,camp,10,3.32,0.3296
gpt4,aoa,cancer,10,6.11,0.3589
gpt4,aoa,candle,10,3.01,0.2949
gpt4,aoa,candy,10,2.4,0.13
gpt4,aoa,canoe,10,4.2,0.354
gpt4,aoa,carcass,10,5.91,0.2809
gpt4,aoa,caress,10,5.05,0.3065
gpt4,aoa,carpet,10,2.75,0.2165
gpt4,aoa,carriage,10,4.23,0.5821
gpt4,aoa,castle,10,3.22,0.4216
gpt4,aoa,cattle,10,2.98,0.2496
gpt4,aoa,caution,10,4.71,0.2789
gpt4,aoa,cease,10,5.39,0.3289
gpt4,aoa,ceiling,10,3.37,0.3641
gpt4,aoa,chauffeur,10,5.89,0.3529
gpt4,aoa,chest,10,2.69,0.2429
gpt4,aoa,chew,10,2.18,0.2316
gpt4,aoa,child,10,1.66,0.2064
gpt4,aoa,chord,10,5.1,0.35
gpt4,aoa,circuit,10,5.74,0.1584
gpt4,aoa,city,10,2.64,0.0684
gpt4,aoa,class,10,3.08,0.3556
gpt4,aoa,clergy,10,6.33,0.1781
gpt4,aoa,cloak,10,4.59,0.4349
gpt4,aoa,closure,10,5.77,0.0861
gpt4,aoa,clover,10,3.5,0.26
gpt4,aoa,coffin,10,5.77,0.1281
gpt4,aoa,column,10,5.02,0.6416
gpt4,aoa,comb,10,2.32,0.2536
gpt4,aoa,compass,10,4.3,0.41
gpt4,aoa,complex,10,5.49,0.2709
gpt4,aoa,concept,10,5.74,0.2364
gpt4,aoa,consent,10,5.66,0.0524
gpt4,aoa,console,10,5.13,0.2761
gpt4,aoa,contempt,10,6.03,0.2081
gpt4,aoa,context,10,5.86,0.2304
gpt4,aoa,contract,10,5.55,0.1285
gpt4,aoa,costume,10,3.7,0.564
gpt4,aoa,cottage,10,4,0.318
gpt4,aoa,cotton,10,2.94,0.5384
gpt4,aoa,couch,10,2.8,0.278
gpt4,aoa,cough,10,2.55,0.4445
gpt4,aoa,county,10,4.84,0.3764
gpt4,aoa,courage,10,4.76,0.4584
gpt4,aoa,crab,10,2.7,0.156
gpt4,aoa,cricket,10,3.78,0.1896
gpt4,aoa,crisis,10,5.37,0.1901
gpt4,aoa,crude,10,5.51,0.2109
gpt4,aoa,crystal,10,4.62,0.4376
gpt4,aoa,cuddle,10,2.49,0.1729
gpt4,aoa,culture,10,5.46,0.5104
gpt4,aoa,cure,10,4.03,0.3341
gpt4,aoa,curtain,10,3.28,0.2836
gpt4,aoa,cushion,10,3.2,0.688
gpt4,aoa,dance,10,2.36,0.2724
gpt4,aoa,dandruff,10,5.26,0.1684
gpt4,aoa,dare,10,3.49,0.3649
gpt4,aoa,date,10,3.63,0.4701
gpt4,aoa,delight,10,3.85,0.1965
gpt4,aoa,desert,10,3.56,0.7724
gpt4,aoa,despair,10,5.62,0.2336
gpt4,aoa,dessert,10,2.97,0.2741
gpt4,aoa,device,10,4.71,0.1329
gpt4,aoa,dinner,10,2.47,0.1761
gpt4,aoa,disgust,10,4.72,0.5216
gpt4,aoa,doctor,10,2.87,0.3361
gpt4,aoa,doctrine,10,6.59,0.1069
gpt4,aoa,donkey,10,2.79,0.2029
gpt4,aoa,doom,10,5.44,0.2644
gpt4,aoa,doubt,10,4.43,0.1421
gpt4,aoa,dread,10,5.42,0.4096
gpt4,aoa,duty,10,4.66,0.3684
gpt4,aoa,ease,10,4.07,0.3501
gpt4,aoa,employ,10,5.4,0.108
gpt4,aoa,escort,10,5.65,0.3885
gpt4,aoa,essence,10,5.76,0.2904
gpt4,aoa,excuse,10,4.04,0.2344
gpt4,aoa,faith,10,4.35,0.2665
gpt4,aoa,fame,10,3.99,0.4169
gpt4,aoa,farewell,10,4.79,0.4489
gpt4,aoa,fault,10,4.02,0.3856
gpt4,aoa,feat,10,5.33,0.3241
gpt4,aoa,fiction,10,5.26,0.3904
gpt4,aoa,figment,10,5.94,0.1864
gpt4,aoa,fire,10,1.75,0.0385
gpt4,aoa,flea,10,2.8,0.598
gpt4,aoa,fleet,10,4.91,0.6549
gpt4,aoa,flourish,10,5.49,0.4049
gpt4,aoa,food,10,1.61,0.0849
gpt4,aoa,forehead,10,2.5,0.428
gpt4,aoa,forge,10,5.47,0.1641
gpt4,aoa,fortress,10,4.84,0.3644
gpt4,aoa,fraud,10,6,0.208
gpt4,aoa,freedom,10,4.52,0.1476
gpt4,aoa,function,10,5.28,0.2056
gpt4,aoa,fuss,10,3.79,0.5569
gpt4,aoa,gain,10,4.18,0.2536
gpt4,aoa,game,10,1.81,0.1009
gpt4,aoa,garbage,10,3.17,0.4801
gpt4,aoa,giraffe,10,2.93,0.2681
gpt4,aoa,gist,10,6.18,0.1736
gpt4,aoa,glacier,10,5.17,0.4381
gpt4,aoa,glee,10,3.98,0.5596
gpt4,aoa,gloom,10,5.49,0.3549
gpt4,aoa,goose,10,2.61,0.1129
gpt4,aoa,greed,10,5.6,0.166
gpt4,aoa,grind,10,4.23,0.5321
gpt4,aoa,guilt,10,5.42,0.6216
gpt4,aoa,guitar,10,3.9,0.178
gpt4,aoa,hall,10,2.97,0.3501
gpt4,aoa,ham,10,2.76,0.2064
gpt4,aoa,hammock,10,5.17,0.4801
gpt4,aoa,hand,10,1.2,0.032
gpt4,aoa,handle,10,3.65,0.2425
gpt4,aoa,harvest,10,4.39,0.2089
gpt4,aoa,hate,10,3.65,0.1045
gpt4,aoa,head,10,1.35,0.0845
gpt4,aoa,health,10,3.4,0.522
gpt4,aoa,heaven,10,3.66,0.2164
gpt4,aoa,hit,10,1.73,0.1121
gpt4,aoa,honey,10,2.25,0.1905
gpt4,aoa,hope,10,3.39,0.3429
gpt4,aoa,hostage,10,6.19,0.1269
gpt4,aoa,hostess,10,4.97,0.1221
gpt4,aoa,hurdle,10,4.92,0.4156
gpt4,aoa,husband,10,4.17,0.8501
gpt4,aoa,impress,10,4.59,0.4749
gpt4,aoa,incest,10,6.74,0.1844
gpt4,aoa,island,10,3.18,0.1256
gpt4,aoa,issue,10,4.44,0.2204
