source,variable,word,n,m,sd
gpt4,aoa,affair,10,5.77,0.507828
gpt4,aoa,aisle,10,4.97,0.394546
gpt4,aoa,anchor,10,3.94,0.676921
gpt4,aoa,anger,10,3.95,0.474342
gpt4,aoa,ant,10,2.03,0.449815
gpt4,aoa,applause,10,4.02,0.758361
gpt4,aoa,apple,10,1.5,0.362093
gpt4,aoa,apron,10,3.8,0.686375
gpt4,aoa,arson,10,6.39,0.589633
gpt4,aoa,art,10,3.68,0.608824
gpt4,aoa,artist,10,3.8,0.727247
gpt4,aoa,aspect,10,5.63,0.432178
gpt4,aoa,asthma,10,5.79,0.556677
gpt4,aoa,attempt,10,4.86,0.44771
gpt4,aoa,author,10,4.96,0.564112
gpt4,aoa,baby,10,1.31,0.314289
gpt4,aoa,balloon,10,2.37,0.388873
gpt4,aoa,ban,10,4.6,0.592546
gpt4,aoa,bandage,10,3.99,0.662403
gpt4,aoa,basket,10,2.88,0.446716
gpt4,aoa,battle,10,4.34,0.651835
gpt4,aoa,bead,10,2.84,0.333999
gpt4,aoa,beer,10,5.37,0.692901
gpt4,aoa,beggar,10,4.79,0.546606
gpt4,aoa,belief,10,4.38,0.329309
gpt4,aoa,bitch,10,6.09,0.523768
gpt4,aoa,blame,10,4.07,0.386005
gpt4,aoa,bliss,10,5.07,0.848594
gpt4,aoa,blister,10,5.1,0.586894
gpt4,aoa,blood,10,2.91,0.595259
gpt4,aoa,blouse,10,3.51,0.515213
gpt4,aoa,boast,10,5.1,0.725718
gpt4,aoa,bondage,10,6.48,0.407704
gpt4,aoa,bonnet,10,3.46,0.485798
gpt4,aoa,bounce,10,2.61,0.550656
gpt4,aoa,bowel,10,5.81,0.530094
gpt4,aoa,bowl,10,2.24,0.383551
gpt4,aoa,bracket,10,5.12,0.722342
gpt4,aoa,breakfast,10,2.12,0.468568
gpt4,aoa,breast,10,2.13,0.485455
gpt4,aoa,bulge,10,4.86,0.793305
gpt4,aoa,button,10,2.54,0.592921
gpt4,aoa,camp,10,3.32,0.605163
gpt4,aoa,cancer,10,6.11,0.631489
gpt4,aoa,candle,10,3.01,0.572422
gpt4,aoa,candy,10,2.4,0.380058
gpt4,aoa,canoe,10,4.2,0.627163
gpt4,aoa,carcass,10,5.91,0.558669
gpt4,aoa,caress,10,5.05,0.583571
gpt4,aoa,carpet,10,2.75,0.490465
gpt4,aoa,carriage,10,4.23,0.804225
gpt4,aoa,castle,10,3.22,0.68443
gpt4,aoa,cattle,10,2.98,0.526624
gpt4,aoa,caution,10,4.71,0.556677
gpt4,aoa,cease,10,5.39,0.60452
gpt4,aoa,ceiling,10,3.37,0.636047
gpt4,aoa,chauffeur,10,5.89,0.626188
gpt4,aoa,chest,10,2.69,0.519508
gpt4,aoa,chew,10,2.18,0.50728
gpt4,aoa,child,10,1.66,0.478888
gpt4,aoa,chord,10,5.1,0.62361
gpt4,aoa,circuit,10,5.74,0.419524
gpt4,aoa,city,10,2.64,0.275681
gpt4,aoa,class,10,3.08,0.628579
gpt4,aoa,clergy,10,6.33,0.444847
gpt4,aoa,cloak,10,4.59,0.695142
gpt4,aoa,closure,10,5.77,0.3093
gpt4,aoa,clover,10,3.5,0.537484
gpt4,aoa,coffin,10,5.77,0.377271
gpt4,aoa,column,10,5.02,0.844327
gpt4,aoa,comb,10,2.32,0.530827
