source,variable,word,n,m,sd
gpt4o,aoa,affair,10,5.74,0.275681
gpt4o,aoa,aisle,10,5.38,0.444222
gpt4o,aoa,anchor,10,4.92,0.608824
gpt4o,aoa,anger,10,3.3,0.258199
gpt4o,aoa,ant,10,2.51,0.237814
gpt4o,aoa,applause,10,4.47,0.702456
gpt4o,aoa,apple,10,1.85,0.241523
gpt4o,aoa,apron,10,4.03,0.585093
gpt4o,aoa,arson,10,6.43,0.245176
gpt4o,aoa,art,10,3.17,0.707185
gpt4o,aoa,artist,14,4.678571,1.282533
gpt4o,aoa,aspect,10,5.57,0.581282
gpt4o,aoa,asthma,10,5,0.492161
gpt4o,aoa,attempt,10,4.23,0.62902
gpt4o,aoa,author,9,4.955556,0.554777
gpt4o,aoa,baby,10,1.43,0.340098
gpt4o,aoa,balloon,10,2.49,0.409471
gpt4o,aoa,ban,10,5.21,0.360401
gpt4o,aoa,bandage,10,3.49,0.33483
gpt4o,aoa,basket,10,2.98,0.413118
gpt4o,aoa,battle,10,4.1,0.394405
gpt4o,aoa,bead,10,3.35,0.337474
gpt4o,aoa,beer,10,4.06,0.873308
gpt4o,aoa,beggar,10,4.91,0.598981
gpt4o,aoa,belief,10,3.96,0.452647
gpt4o,aoa,bitch,10,6.2,0.537484
gpt4o,aoa,blame,10,3.86,0.544059
gpt4o,aoa,bliss,10,5.35,0.442844
gpt4o,aoa,blister,10,4.71,0.525885
gpt4o,aoa,blood,10,3.03,0.503433
gpt4o,aoa,blouse,10,3.94,0.685079
gpt4o,aoa,boast,10,5.11,0.566569
gpt4o,aoa,bondage,10,6.53,0.34657
gpt4o,aoa,bonnet,10,4.5,0.816497
gpt4o,aoa,bounce,10,3.22,0.396653
gpt4o,aoa,bowel,10,5.85,0.337474
gpt4o,aoa,bowl,10,2.46,0.356526
gpt4o,aoa,bracket,10,5.25,0.521217
gpt4o,aoa,breakfast,10,2.24,0.419524
gpt4o,aoa,breast,10,3.75,0.978945
gpt4o,aoa,bulge,10,5.3,0.539547
gpt4o,aoa,button,10,2.48,0.33928
gpt4o,aoa,camp,10,3.25,0.540062
gpt4o,aoa,cancer,10,5.43,0.41379
gpt4o,aoa,candle,10,3.01,0.587745
gpt4o,aoa,candy,10,2.14,0.40332
gpt4o,aoa,canoe,10,4.43,0.686456
gpt4o,aoa,carcass,10,5.9,0.567646
gpt4o,aoa,caress,10,5.71,0.493176
gpt4o,aoa,carpet,10,3.18,0.41042
gpt4o,aoa,carriage,10,4.8,0.537484
gpt4o,aoa,castle,10,3.62,0.53707
