source,variable,word,n,m,sd
gpt4o,lexdec,affair,10,553.8,51.779018
gpt4o,lexdec,aisle,10,563.3,53.32302
gpt4o,lexdec,anchor,10,554.5,54.080701
gpt4o,lexdec,anger,10,562.8,53.598922
gpt4o,lexdec,ant,10,525,62.048368
gpt4o,lexdec,applause,10,605.9,39.27524
gpt4o,lexdec,apple,10,536.9,75.626935
gpt4o,lexdec,apron,10,560.9,36.366804
gpt4o,lexdec,arson,10,580.3,79.798427
gpt4o,lexdec,art,10,549.5,69.059153
gpt4o,lexdec,artist,10,518.3,62.414475
gpt4o,lexdec,aspect,10,571,49.988888
gpt4o,lexdec,asthma,10,568.9,48.0635
gpt4o,lexdec,attempt,10,571.7,76.456306
gpt4o,lexdec,author,10,532.4,38.727538
gpt4o,lexdec,baby,10,495.6,60.946607
gpt4o,lexdec,balloon,10,566.3,55.057647
gpt4o,lexdec,ban,10,523.6,72.35591
gpt4o,lexdec,bandage,10,586,51.196788
gpt4o,lexdec,basket,10,522.2,62.008602
gpt4o,lexdec,battle,10,554.4,66.166793
gpt4o,lexdec,bead,10,541.4,72.867002
gpt4o,lexdec,beer,10,532.6,61.937603
gpt4o,lexdec,beggar,10,588.3,35.198011
gpt4o,lexdec,belief,10,530,47.375568
gpt4o,lexdec,bitch,10,605,83.898086
gpt4o,lexdec,blame,10,559,46.53553
gpt4o,lexdec,bliss,10,569.8,73.317877
gpt4o,lexdec,blister,10,607.5,58.984461
gpt4o,lexdec,blood,10,524.5,67.554505
gpt4o,lexdec,blouse,10,555.6,55.178901
gpt4o,lexdec,boast,10,564.6,45.097918
gpt4o,lexdec,bondage,10,587.3,72.300377
gpt4o,lexdec,bonnet,10,572,73.643284
gpt4o,lexdec,bounce,10,546.1,69.872026
gpt4o,lexdec,bowel,10,599.6,50.680261
gpt4o,lexdec,bowl,10,507.7,70.463623
gpt4o,lexdec,bracket,10,553.7,54.18087
gpt4o,lexdec,breakfast,10,550.5,74.998148
gpt4o,lexdec,breast,10,528.2,44.872164
gpt4o,lexdec,bulge,10,570.3,61.872719
gpt4o,lexdec,button,10,572.5,80.700062
gpt4o,lexdec,camp,10,529,59.198348
gpt4o,lexdec,cancer,10,575.9,53.033428
gpt4o,lexdec,candle,10,568.3,62.012633
gpt4o,lexdec,candy,10,547.4,71.649145
gpt4o,lexdec,canoe,10,573.7,65.159718
gpt4o,lexdec,carcass,10,629.9,48.676825
gpt4o,lexdec,caress,10,576.2,80.062198
gpt4o,lexdec,carpet,10,564.5,71.079377
gpt4o,lexdec,carriage,10,589,84.287867
gpt4o,lexdec,castle,10,549,58.537737
gpt4o,lexdec,cattle,10,583.6,44.04089
gpt4o,lexdec,caution,10,568.5,85.895608
gpt4o,lexdec,cease,10,570.2,62.051591
gpt4o,lexdec,ceiling,10,563.3,61.910419
gpt4o,lexdec,chauffeur,10,599.5,61.483964
gpt4o,lexdec,chest,10,536.7,59.768163
gpt4o,lexdec,chew,10,530.8,82.642201
gpt4o,lexdec,child,10,516.5,51.696228
gpt4o,lexdec,chord,10,590.8,52.24685
gpt4o,lexdec,circuit,10,578.8,69.28973
gpt4o,lexdec,city,10,519.2,58.288173
gpt4o,lexdec,class,10,495.2,37.525695
gpt4o,lexdec,clergy,10,626.2,56.945978
