source,variable,word,n,m,sd
scope,aoa,affair,0,5.82,0.453431
scope,aoa,aisle,0,4.88,0.507543
scope,aoa,anchor,0,3.98,0.617738
scope,aoa,anger,0,4.06,0.241661
scope,aoa,ant,0,1.92,0.36
scope,aoa,applause,0,3.74,0.665132
scope,aoa,apple,0,1.4,0.414729
scope,aoa,apron,0,3.64,0.643739
scope,aoa,arson,0,6.18,0.630555
scope,aoa,art,0,3.82,0.611228
scope,aoa,artist,0,3.72,0.879545
scope,aoa,aspect,0,5.62,0.305941
scope,aoa,asthma,0,5.74,0.458694
scope,aoa,attempt,0,4.64,0.257682
scope,aoa,author,0,4.98,0.617738
scope,aoa,baby,0,1.3,0.244949
scope,aoa,balloon,0,2.32,0.222711
scope,aoa,ban,0,4.42,0.630555
scope,aoa,bandage,0,3.58,0.381576
scope,aoa,basket,0,2.68,0.411825
scope,aoa,battle,0,4.08,0.381576
scope,aoa,bead,0,2.68,0.222711
scope,aoa,beer,0,5.38,0.752064
scope,aoa,beggar,0,4.48,0.470744
scope,aoa,belief,0,4.46,0.08
scope,aoa,bitch,0,6.2,0.244949
scope,aoa,blame,0,4.06,0.338231
scope,aoa,bliss,0,4.98,0.601332
scope,aoa,blister,0,5.26,0.51614
scope,aoa,blood,0,3.02,0.556417
scope,aoa,blouse,0,3.54,0.344093
scope,aoa,boast,0,5.62,0.370945
scope,aoa,bondage,0,6.5,0.447214
scope,aoa,bonnet,0,3.44,0.338231
scope,aoa,bounce,0,2.48,0.630555
scope,aoa,bowel,0,5.64,0.615142
scope,aoa,bowl,0,2.08,0.381576
scope,aoa,bracket,0,4.84,0.821219
scope,aoa,breakfast,0,2.04,0.349857
scope,aoa,breast,0,2.34,0.449889
scope,aoa,bulge,0,5.3,0.729383
scope,aoa,button,0,2.5,0.632456
scope,aoa,camp,0,3.2,0.303315
scope,aoa,cancer,0,6.12,0.483322
scope,aoa,candle,0,3.02,0.507543
scope,aoa,candy,0,2.48,0.36
scope,aoa,canoe,0,4.28,0.581034
scope,aoa,carcass,0,5.8,0.596657
scope,aoa,caress,0,4.94,0.338231
scope,aoa,carpet,0,2.94,0.542586
scope,aoa,carriage,0,4.04,0.811419
scope,aoa,castle,0,2.94,0.523832
scope,aoa,cattle,0,2.78,0.172047
scope,aoa,caution,0,4.8,0.6
scope,aoa,cease,0,5.24,0.387814
