source,word,aoa,arousal,conc,dom,fam,image,size,gender,valence,humor,social
scope,affair,5.618,5.969,3.394,4.441,5.688,4.424,4.758,4.235,2.438,2.151515152,5.45
scope,aisle,4.531,3.613,5.719,4.71,4.867,5.438,3.781,3.345,5.226,2.444444444,2.684210526
scope,anchor,3.571,3.629,6.471,5.143,5.242,6.618,4.382,5.343,5.171,2.304347826,1.75
scope,anger,2.794,5.636,3.647,4.618,6.235,4.758,5.515,4.914,2.529,1.5,5.391304348
scope,ant,2,3.029,6.629,4.514,5.546,6.743,1.5,4.206,4.647,2.275,1.791666667
scope,applause,3.629,6.686,5.6,6.686,6.03,5.914,5,3.914,7.8,2.5,5.608695652
scope,apple,1.552313156,4.656662991,6.794734548,5.386291104,6.666421392,6.854933318,2.378004875,3.318842784,6.13410336,2.333333333,1.909090909
scope,apron,3.226,3.724,6.452,4.344,4.615,6.613,2.719,2,5.226,2.257142857,1.571428571
scope,arson,5.971,5.206,4.714,5.088,4.286,4.706,5.394,5.706,2.059,1.775,3.666666667
scope,art,2.441,6.394,4.382,5.938,6.364,5.794,5.375,2.971,7.03,2.290322581,4.409090909
scope,artist,3.265,5.235,5.546,6,5.879,6.212,4.515,3.265,6.912,2.486486486,6.19047619
scope,aspect,5.971,3.857,2.6,5.469,4.906,1.943,3.471,3.735,5.531,2.333333333,2.52
scope,asthma,4.029,3.667,5.457,3.031,5.182,4.829,4.059,4.177,2.471,1.548387097,3.095238095
scope,attempt,3.914,3.727,3.629,5.743,5.765,3,4.059,3.886,5.829,2.25,3
scope,author,3.743,4.735,5.576,5.546,5.941,4.714,3.677,3.912,6,1.666666667,3.958333333
scope,baby,1.844,4.29,6.607,4.313,5.929,6.593,2.546,2.688,6.594,2.555555556,5.409090909
scope,balloon,2.147,4.849,6.031,5.375,5.794,6.581,3.265,3.844,6.212,2.75,2.086956522
scope,ban,3.667,3.818,3.576,3.906,5.516,3.129,3.97,4.563,2.548,2.171428571,3.954545455
scope,bandage,2.912,4.2,5.971,4.441,5.5,6.265,2.8,3.97,4.171,2.090909091,2.391304348
scope,basket,2.235,3.257,6.2,5.171,6,6.235,2.857,3.265,5.177,2.555555556,2.285714286
scope,battle,3.514,5.576,5.387,5.559,4.897,5.686,6.059,6.091,2.333,1.727272727,5.863636364
scope,bead,2.813,3.758,6.281,5.353,4.879,5.909,1.71,2.677,5.394,2.352941176,1.761904762
scope,beer,4.147,5.177,6.629,5.353,6.618,6.714,3,5.882,5.543,2.806451613,4.043478261
scope,beggar,4.303,3.031,5.844,4.323,4.931,6.258,2.968,4.844,2.7,2.125,5.043478261
scope,belief,4.177,5.333,2.824,5.143,5.912,3.143,5.529,3.343,6.697,2.142857143,5.041666667
scope,bitch,5.588,6.727,4.273,4.758,5.774,4.441,4.735,1.939,1.743,2.5,4.227272727
scope,blame,3.286,4.343,2.543,3.765,6.057,2.571,5.171,4.286,2.743,1.8,5.681818182
scope,bliss,5.121,6.455,2.667,5.969,5.125,3.938,5,2.455,8.091,2.357142857,3.85
scope,blister,3.8,3.235,6.147,3.857,5.559,6.314,2.677,4.265,2.941,1.974358974,1.333333333
scope,blood,2.412,5.406,6.057,4.765,6.219,6.412,4.118,4.212,4.758,1.7,2.652173913
scope,blouse,3.912,4.094,6,5.125,5.281,6.121,2.656,1.758,5.531,2.137931034,1.952380952
scope,boast,4.686,4.667,3.194,6.273,5.194,2.875,4.97,4.939,3.226,2.388888889,5.125
scope,bondage,6.576,5.909,4.788,4.594,4.324,5.273,4.516,4.546,4.212,2.451612903,4.7
scope,bonnet,4.515,3.129,6.469,4.966,3.033,6.281,2.781,2.7,4.939,2.694444444,1.565217391
scope,bounce,2.364,5.697,4.531,6.065,5.781,5.188,3.906,3.406,6.273,3.03030303,2.173913043
scope,bowel,5.441,3,6.091,4.706,4.618,4.818,3.529,4.606,3.879,2.909090909,1.526315789
scope,bowl,2.059,3,6.546,5.324,6.281,6.424,2.688,3.971,5.212,2.428571429,1.727272727
scope,bracket,4.606,2.938,5.594,4.643,4.759,5.161,2.355,4.484,5.065,2.333333333,2.1
scope,breakfast,1.771,5.029,5.853,5.588,6.5,6.294,3.118,3.636,5.857,2.352941176,3.421052632
scope,breast,4.324,6.294,6.485,5.647,6.188,6.5,3.485,1.303,6.353,2.972972973,3.636363636
scope,bulge,4.677,4.333,5.125,4.758,5.161,5.75,4.273,5.118,4,3.03030303,2.15
scope,button,2.265,3.677,6.382,5.559,6.156,6.647,1.818,3.912,5.235,2.423076923,1.227272727
scope,camp,4.051761834,3.985295922,4.843153139,4.904704721,5.19725328,5.42749196,3.806017044,4.401628377,5.268324029,2,4.772727273
scope,cancer,4.758,4.281,5.563,3.194,6.452,4.333,5.71,4.156,1.219,1.457142857,3.347826087
scope,candle,3.063,4.903,6.621,5.969,6.259,6.774,2.194,3.097,6.333,2.388888889,1.625
scope,candy,2.686,5.714,6.114,5.114,5.594,6.647,2.571,2.743,7.029,3.108108108,2.857142857
scope,canoe,4.618,3.886,6.697,5.242,4.706,6.758,3.382,4.75,5.6,2.7,2.761904762
scope,carcass,5.344,4.303,5.636,4.433,3.688,5.531,3.533,4.625,2.6,2.425,2
scope,caress,5.667,6.563,4.156,5.424,4.581,4.061,3.226,2.355,7.063,2.59375,5.16
scope,carpet,2.429,3.529,6.147,5.455,6.324,6.343,3.857,3.4,5.086,2.3,1.583333333
scope,carriage,3.938,4.182,6.303,5.156,4.581,6.387,4.194,2.969,5.677,1.96,3.4
scope,castle,2.548,5.875,6.5,5.968,5.931,6.759,5.97,4.8,6.065,2.487804878,3.043478261
scope,cattle,3.706,3.242,6.5,5.412,5.233,6.212,4.242,4.559,5.265,2.066666667,2.434782609
scope,caution,4.235,5.4,2.677,3.471,5.121,3.441,4.909,4.177,4.229,1.9,4.333333333
scope,cease,5.471,4.125,3.742,4.706,4.281,2.719,4.125,4.394,3.647,2.027027027,2.272727273
scope,ceiling,2.886,2.849,6.647,4.647,5.75,6.147,4.71,3.941,4.971,2.125,1.454545455
scope,chauffeur,5.571,4.118,6.25,5.559,3.824,6.364,3.939,5.629,5.765,2.821428571,4.523809524
scope,chest,3.066874634,4.781933529,6.324792664,5.574019976,5.817056828,6.2245254,3.945239883,4.321183744,5.430278801,2.225806452,2.1
scope,chew,2.314,3.906,4.771,6.059,6.161,5.219,2.364,4.182,5.333,2.285714286,2.391304348
scope,child,2.484,4.226,6.167,3.677,6.519,6.621,2.375,3.032,6.194,2.529411765,5.285714286
scope,chord,4.647,4.906,5,5.697,5.212,5.088,2.882,3.875,6.03,2.043478261,2.541666667
scope,circuit,5.559,3.529,5,4.677,5.129,4.543,4,4.853,4.941,2.333333333,2.590909091
scope,city,3.065,6.161,5.929,4.936,6.607,6.31,6.219,4.172,5.844,2.0625,6.173913043
scope,class,3.346774483,3.784114957,4.150542511,4.186002782,6.008959159,4.669418095,4.607062987,3.958207935,4.832050078,2.5,5.857142857
scope,clergy,5.941,2.844,5.636,3.969,3.576,5.516,4.182,5.226,4.727,2.444444444,4.578947368
scope,cloak,3.861,4.182,6.5,5.706,5.156,6.529,3.486,4.667,5.361,2.257142857,2.125
scope,closure,5.618,4.242,2.771,5.313,4.75,3.029,4.485,3.563,6,2,3.095238095
scope,clover,3.677,4.206,5.697,5.457,4.909,6.471,2.457,3.514,6.353,2.64,2.05
scope,coffin,3.743,4.061,6.844,3.212,5.226,6.412,4.5,4.394,2.029,1.891891892,3.571428571
scope,column,4.177,3.242,5.824,5.656,4.667,5.636,4.294,4.438,5.294,2,1.789473684
scope,comb,2.788,3.25,6.625,5.618,5.968,6.656,2.032,3.677,5.25,2.416666667,1.80952381
scope,compass,4.5,3.647,6.412,5.441,4.968,6.324,2.636,4.971,5.559,2.655172414,2.761904762
scope,complex,5.447767037,4.80251914,3.30060609,4.918530111,5.256552827,3.108595795,5.36457564,4.233102175,4.302939874,1.870967742,3.045454545
scope,concept,5.5,4.735,2.057,5.886,5.618,2.6,5.086,4.229,5.686,2.130434783,3.391304348
scope,consent,5.529,4.588,3.364,6.364,5.969,3.147,4.515,3.303,6.471,2,5.761904762
scope,console,5.314,4.912,3.382,4.677,4.807,4.177,4.324,3.576,5.857,1.770833333,4.75
scope,contempt,5.629,4.714,3.029,5.286,4.912,3.229,4.657,3.912,3.286,1.804347826,3.565217391
scope,context,5.629,4.061,2.853,4.833,5.516,2.5,4.182,3.875,5.543,1.888888889,3.428571429
scope,contract,5.284396605,3.890596735,4.675506301,4.330865622,5.154521776,4.498662161,4.220575579,4.632423376,4.581601632,2.083333333,4.583333333
scope,costume,2.857,5.909,5.656,5.849,5.688,5.971,4.242,3.147,5.788,2.4,4.2
scope,cottage,3.382,3.971,6.765,5.029,5.563,6.758,4.088,2.824,6.061,2.333333333,2.869565217
scope,cotton,3.941,3.559,6.438,4.647,5.636,6.029,2.875,2.829,5.941,2.285714286,1.5
scope,couch,2.954793316,3.833213971,6.257891043,5.228622995,5.408714037,6.211138971,3.869986029,4.326698463,5.687827005,2.323529412,2.47826087
scope,cough,2.514,4.059,5.829,4.457,6.206,5.765,3.143,4.686,3.686,2.111111111,3
scope,county,4.606,3.212,5.469,4.818,5.094,4.903,5.455,4.177,5.242,2.185185185,4.714285714
scope,courage,3.794,7.206,2.4,7.758,5.324,3.697,5.886,4.882,8.143,2.230769231,5.5
scope,crab,3.18284059,3.585416784,5.978845154,5.015567205,4.957183567,6.18061264,2.819726615,4.543683497,4.452342205,2.655172414,1.652173913
scope,cricket,3.784302652,2.916635167,6.223224381,4.915762733,4.90409143,6.45165494,3.115016909,5.298826277,4.968213268,2.470588235,4.714285714
scope,crisis,5,6.147,3.743,2.829,5.457,3.912,6.059,4.629,1.8,1.833333333,5.045454545
scope,crude,5.419,5.303,2.576,5,4.6,2.563,3.906,5.345,3.364,2.382352941,2.476190476
scope,crystal,3.943,6.371,6.114,5.829,4.912,6.143,2.8,2.118,6.943,2.1875,1.739130435
scope,cuddle,2.057,6.629,5.486,4.886,6.353,6,3.886,1.914,8.029,2.648648649,6.5
scope,culture,5.152,5.824,3.188,4.903,6.281,3.853,6.25,3.059,6.882,2.033333333,6.416666667
scope,cure,3.968,6.419,4.219,6,5.556,2.844,5.5,3.852,8,2.25,4.157894737
scope,curtain,3.063,3.323,6.606,4.893,5.96,6.567,3.613,3.179,5.188,2.161290323,1.545454545
scope,cushion,2.429,3.677,6.2,4.824,5.936,6.412,2.588,2.849,6.091,2.59375,2.333333333
scope,dance,2.546,6.424,4.807,5.909,6.233,6.125,4.382,2.531,6.879,2.612903226,5.608695652
scope,dandruff,4.061,2.5,6.364,3.758,5,6.161,2.156,4.469,2.903,2.682926829,1.684210526
scope,dare,3.364,6.242,3.406,5.594,5.719,3.5,4.636,4.727,4.606,2.148148148,4.333333333
scope,date,3.635418373,5.005777853,4.883269015,5.323923387,5.954130789,5.383302031,3.556303348,2.86060164,6.341722572,2.34,5.173913043
scope,delight,4.029,7.091,3,5.824,5.588,4.212,4.667,2.914,8.059,2.939393939,4.130434783
scope,desert,3.515,4.968,6.125,4.258,5.581,6.219,5.188,4,4.9,1.756756757,1.947368421
scope,despair,5.371,4.588,3.125,2.424,5.094,3.706,4.853,3.529,2.03,1.568181818,4.1
scope,dessert,3.118,6,6.177,5.242,6.147,6.571,3.824,2.771,7.2,2.52173913,2.5
scope,device,4.618,3.824,5.382,5.486,5.912,5,3.429,4.618,5.371,2.153846154,2.590909091
scope,dinner,1.657,5.606,6.121,5.849,6.629,6.314,3.677,3.257,6.714,2.243243243,4.904761905
scope,disgust,4.657,4.514,3.121,4.853,5.531,4.242,4.588,4.091,2.371,1.75,4.523809524
scope,doctor,2.441,5.088,6.382,4.353,6.455,6.546,4.147,5.118,6.118,2.1,5.714285714
scope,doctrine,6.719,4.968,3.774,4.367,3.242,2.839,5.484,4.968,4.871,2.114285714,4.578947368
scope,donkey,2.543,3.706,6.588,5.343,5.281,6.667,4.059,4.857,5.182,3.315789474,2.086956522
scope,doom,4.375,5.688,2.182,2.75,4.31,2.563,5.75,4.767,1.636,1.970588235,3.391304348
scope,doubt,4.677,4.273,2.588,3.382,6.029,2.765,4.088,3.794,2.971,2.114285714,4.4
scope,dread,5.063,5.548,2.5,3,4.5,2.875,4.871,4.379,2.065,1.583333333,3.565217391
scope,duty,4.394,3.824,3.059,4.485,5.375,3.061,4.97,4.471,5.029,2.514285714,5.208333333
scope,ease,4.057,4.314,2.829,6.143,5.059,3.529,3.882,3.286,6.914,2.233333333,2.608695652
scope,employ,5.576,4.485,3.794,4.706,5.606,3.03,4.177,4.849,5.912,2.171428571,5.130434783
scope,escort,5.971,4.543,4.314,4.265,3.939,4.143,4.375,3.629,5.059,2.318181818,5.130434783
scope,essence,5.441,5.667,2.471,5.758,4.469,2.471,4.029,2.853,6.091,2.088235294,3.25
scope,excuse,3.571,4.25,2.727,5.25,6.103,2.794,3.849,4.706,3.636,2.151515152,4.473684211
scope,faith,3.829,4.406,2.286,4.618,5.625,3.486,5.294,3.061,6.636,2.258064516,4.85
scope,fame,3.794,5.844,2.677,5.125,5.967,4.063,5.313,3.303,6,2.4,5.708333333
scope,farewell,5.057,3.647,3.088,4.324,4.788,3.971,4.441,3.088,3.909,1.9,6.19047619
scope,fault,3.429,3.588,2.576,4.324,5.71,2.5,4.206,4.257,2.853,2.029411765,4.095238095
scope,feat,5.552,4.267,3.655,5.7,3.933,3.267,5.035,4.467,5.714,2.131578947,3
scope,fiction,4.118,4.647,3.936,4.758,5.839,3.281,3.939,3.909,5.697,2.484848485,3.695652174
scope,figment,5.677,4.065,2.167,4.903,4.147,2.938,3.233,3.71,5.065,2.631578947,2.333333333
scope,fire,3.019618871,6.361060483,5.623331836,5.035115091,5.841733313,5.888339655,5.095584007,4.987859031,3.366229187,2.027777778,3.3
