source,word,aoa,arousal,conc,dom,fam,gender,image,size,valence,humor,social
scope,affair,1,2.391,1.434,2.403,1.57,1.816,1.81,1.371,1.321,1.064225426,1.959457497
scope,aisle,1.172,1.826,1.038,1.223,1.455,0.8,1.029,1.111,1.007,0.974021534,1.416279617
scope,anchor,1.178,1.838,0.848,2.257,1.596,1.013,0.971,1.627,1.159,1.258959982,1.29269201
scope,anger,0.994,2.568,1.813,2.364,0.877,1.251,1.776,1.104,1.5,0.948683298,1.751340537
scope,ant,0.676,1.757,0.865,1.962,1.458,0.932,0.498,1.091,0.8,1.131993929,1.64129235
scope,applause,1.396,1.652,1.126,1.635,0.937,0.692,1.296,1.414,1.009,1.232281834,1.900696773
scope,apple,0.606,2.138,0.452,1.209,0.572,0.954,0.379,1.241,1.191,1.184187,1.770366949
scope,apron,0.974,1.76,0.711,1.492,1.734,0.981,0.549,1.179,0.705,1.093909802,0.870139562
scope,arson,1.071,2.898,1.578,2.381,1.98,0.824,1.807,1.229,1.434,1.120611097,1.957890021
scope,art,0.735,2.187,2.156,1.694,1.123,1.175,1.41,1.596,1.218,1.188656059,1.763629669
scope,artist,1.038,2.21,1.707,1.82,1.365,1.22,0.913,1.417,1.269,1.216132797,1.209092537
scope,aspect,0.971,2.086,1.438,1.414,1.608,0.885,1.17,1.576,0.901,1.239448218,1.610382977
scope,asthma,1.295,2.3,1.25,1.944,1.585,0.706,1.483,1.413,1.036,0.925156191,1.946914531
scope,attempt,1.402,1.847,1.587,1.36,1.285,0.574,1.656,1.027,0.971,1.08012345,2.02758751
scope,author,1.227,1.945,1.181,1.76,1.305,1.147,1.766,1.429,1.213,0.877058019,2.255026591
scope,baby,0.972,2.593,0.673,2.615,1.067,1.074,0.562,1.689,2.09,1.132492685,2.015631554
scope,balloon,0.879,1.743,1.38,1.452,1.207,1.064,0.834,1.559,1.273,1.326977605,1.729767285
scope,ban,1.341,2.194,1.724,2.296,1.388,0.899,1.641,1.784,1.214,1.175377644,2.148693351
scope,bandage,1.292,1.894,1.276,1.333,1.649,0.797,1.244,1.45,1.665,0.97991187,2.230758746
