source,word,foot_leg,hand_arm,head,mouth,torso
lanc,ABBREVIATE,0.157894737,2.105263158,2,1.789473684,0.210526316
lanc,ABODE,1.25,1.3125,2.4375,1.3125,1.3125
lanc,ABSCESSED,0.923076923,1.230769231,1.153846154,1.769230769,0.846153846
lanc,ABYSS,0.411764706,0.588235294,2.529411765,0.764705882,0.764705882
lanc,ACCORDANCE,0.388888889,0.722222222,2.111111111,1.611111111,0.333333333
lanc,ADJUNCT,0.2,0.933333333,1.266666667,1,0.2
lanc,ADJUSTMENT,1.526315789,2.210526316,1.947368421,1.263157895,2.368421053
lanc,AERIAL,0.722222222,0.833333333,2.722222222,0.722222222,0.5
lanc,AERIALLY,0.611111111,0.888888889,1.777777778,0.666666667,1.111111111
lanc,AFFECTIVE,0.947368421,1.526315789,2.631578947,1.368421053,1
lanc,AFTERSALE,1,1.055555556,1.611111111,0.777777778,0.666666667
lanc,AFTERSHAVE,0.4,1.75,3.15,2.25,0.5
lanc,AGING,2.761904762,2.761904762,3.523809524,2.047619048,2.904761905
lanc,ALERTNESS,1,1.222222222,4.555555556,1.166666667,1.111111111
lanc,ALLUSIVELY,0.666666667,0.6,1.933333333,1.733333333,0.666666667
lanc,ALOE VERA,1.210526316,3.105263158,1.421052632,0.789473684,1.052631579
lanc,ALWAYS,0.611111111,0.888888889,1.555555556,0.777777778,0.388888889
lanc,AMBITIOUSLY,1.222222222,1.555555556,3.611111111,2.111111111,1.444444444
lanc,AMERICANIZE,0.555555556,0.777777778,2.055555556,1.055555556,0.5
lanc,AMID,1.235294118,1.058823529,1.352941176,1.058823529,0.941176471
lanc,ANTLER,0.210526316,1.157894737,2.210526316,0.210526316,0.368421053
lanc,APPLY,0.75,2.5,1.05,0.9,0.5
lanc,APPRECIATORY,0.294117647,1.235294118,2.117647059,2.470588235,0.529411765
lanc,ARRESTINGLY,0.416666667,0.583333333,1.333333333,0.583333333,0.333333333
lanc,ASSASSIN,0.789473684,1.736842105,1.315789474,0.736842105,0.736842105
lanc,ASSIGNMENT,0.5,2,2.722222222,1.388888889,0.833333333
lanc,ATMOSPHERE,0.80952381,0.952380952,2.952380952,1.857142857,1.142857143
lanc,ATOMIC,0.611111111,0.611111111,1.833333333,1.166666667,0.611111111
lanc,AUCTION OFF,0.5,1.233333333,1.7,2.466666667,0.5
lanc,AVAIL,0.076923077,0.384615385,0.923076923,0.384615385,0.153846154
lanc,BALCONY,1.789473684,1.789473684,1.789473684,0.473684211,1.052631579
lanc,BASEBALL BAT,0.388888889,4.055555556,1.722222222,0.166666667,0.777777778
lanc,BEFOUL,0.8125,1.4375,1.625,2.125,0.6875
lanc,BEFUDDLEMENT,0,0,2.5,1.125,0
lanc,BEHAVIORAL,0.6,0.75,2.05,1.05,0.6
lanc,BEIGE,0.411764706,0.411764706,2.647058824,0.647058824,0.352941176
lanc,BELATEDNESS,0.294117647,0.117647059,1.294117647,0.705882353,0.117647059
lanc,BEND,2.8,3.1,1.25,0.6,3
lanc,BILLFOLD,0.166666667,2.333333333,1.944444444,0.277777778,0.444444444
lanc,BIMOLECULAR,0.909090909,0.636363636,1.909090909,1.272727273,0.727272727
lanc,BIOSPHERE,0.8125,0.875,2.6875,0.9375,0.875
lanc,BLOCKHEADED,0.625,0.6875,2.625,1.625,0.25
lanc,BLUECOAT,0.333333333,1.933333333,2.466666667,0.733333333,2
lanc,BODY BUILDING,3.611111111,3.666666667,0.833333333,0.111111111,3.555555556
lanc,BOMB,1.444444444,1.722222222,1.777777778,0.833333333,1.722222222
lanc,BOO,0.65,1.4,2.75,2.95,1.05
lanc,BOUNDLESS,1.4,1.15,2.15,1.25,1.2
lanc,BRAINCHILD,0.777777778,0.833333333,3.111111111,1.444444444,0.888888889
lanc,BRAINS,0.333333333,0.333333333,4.166666667,0.722222222,0.333333333
lanc,BUBBLER,0.352941176,0.705882353,0.882352941,2.176470588,0.882352941
lanc,BUDGET,0.2,1.25,3.05,0.85,0.3
lanc,BUREAUCRAT,0.5,0.8,2.4,1.65,0.35
lanc,BUSTED,0.823529412,1.235294118,2.470588235,1.411764706,0.764705882
lanc,CALL GIRL,1.333333333,2.111111111,2.444444444,2.444444444,2.444444444
lanc,CAMPER,1.555555556,1.555555556,2.166666667,0.833333333,1.388888889
lanc,CANCER,2.055555556,2,2.611111111,2.277777778,2.611111111
lanc,CASING,0.368421053,1.631578947,2.263157895,0.578947368,0.631578947
lanc,CENT,0.294117647,2.058823529,2.647058824,0.823529412,0.176470588
lanc,CHALLENGE,1.444444444,1.888888889,3.666666667,1.888888889,1.222222222
lanc,CHART,0.222222222,2.055555556,3.555555556,1.055555556,0.277777778
lanc,CHEERFULNESS,1.166666667,1.611111111,4.111111111,3.222222222,1.277777778
lanc,CHEMISTRY,0.476190476,1.80952381,3.047619048,1.19047619,0.904761905
lanc,CHOREOGRAPH,3.411764706,3.117647059,2.823529412,1.176470588,3
lanc,CHURCHMAN,0.470588235,0.941176471,2.647058824,1.352941176,0.470588235
lanc,CIVIL SUIT,0,0.166666667,1.5,1.166666667,0.611111111
lanc,CLEANER,1.2,2.35,1.4,0.75,1.15
lanc,CLEANUP,2.421052632,4.157894737,1.578947368,0.947368421,2.368421053
lanc,CLEARINGHOUSE,0.8125,1,1.5625,1.125,0.625
lanc,CLERGY,0.3,1.1,2.35,1.35,0.7
lanc,CLIMATOLOGIC,0.866666667,0.8,1.733333333,0.933333333,0.8
lanc,CLING TO,0.473684211,3,0.789473684,0.315789474,0.842105263
lanc,CLOWNERY,1.235294118,1.352941176,2.176470588,1.764705882,1
lanc,COIL,0.388888889,2.333333333,1.333333333,0.111111111,0.388888889
lanc,COLLATERALLY,0,0.294117647,0.941176471,0.705882353,0
lanc,COLONIZE,1.315789474,1.315789474,1.842105263,0.947368421,0.684210526
lanc,COLOR,0.242424242,1.393939394,4.03030303,0.424242424,0.303030303
lanc,COMATOSE,0.277777778,0.277777778,2.444444444,0.055555556,0.5
lanc,COMBUST,0.55,1.45,2.4,0.25,0.65
lanc,COMMOTION,1.388888889,1.666666667,3.944444444,2.222222222,0.777777778
lanc,COMPATIBILITY,0.857142857,1.380952381,2.666666667,1.571428571,0.952380952
lanc,COMPLICATED,0.210526316,0.473684211,2.052631579,1.052631579,0
lanc,COMPOSITIONALLY,0.5,1.3125,1.9375,1,0.625
lanc,COMPROMISING,0.444444444,0.777777778,1.722222222,1.611111111,0.444444444
lanc,CONFUSABILITY,0.35,0.5,3.7,1.5,0.3
lanc,CONGRUOUSLY,0.6,1.1,2.5,1.1,0.5
lanc,CONSTITUTION,0.6,0.85,2.8,1.05,0.65
lanc,COPE WITH,0.722222222,0.888888889,3.722222222,1.388888889,0.611111111
lanc,COPYHOLDER,0.235294118,1.823529412,1.705882353,0.588235294,0.352941176
lanc,CORPSE,1.55,2.4,2.75,1.3,1.8
lanc,CRACKERS,0.2,2.45,1.5,3.9,0.65
lanc,CRITTER,0.75,1.45,2.35,0.55,0.55
lanc,CULMINATION,0.75,1.1875,1.9375,1.25,0.4375
lanc,CURATIVE,1.133333333,1.466666667,1.933333333,1.8,1.133333333
lanc,CUTLET,0.157894737,1.578947368,1.210526316,2.210526316,0.421052632
lanc,DEACTIVATION,0,1.684210526,1.263157895,0.368421053,0
lanc,DEBARK,1.818181818,1.727272727,1.636363636,0.454545455,1
lanc,DECADENT,1,1.25,3,2.375,1.125
lanc,DECENTNESS,0.3125,0.5,2.5625,1.25,0.4375
lanc,DECORATIVE,0.444444444,1.333333333,2.666666667,0.611111111,0.5
lanc,DEFERRED,0.9,1.25,1.75,1.55,0.5
lanc,DEFINITELY,0.105263158,0.473684211,1.368421053,1,0.263157895
lanc,DEFINITIVE,0.4,0.65,1.85,1.4,0.55
lanc,DEFORMED,2.263157895,2.315789474,2.578947368,1.421052632,2.052631579
lanc,DEGREASER,0.117647059,2.176470588,0.647058824,0.058823529,0.588235294
lanc,DEMOGRAPHICALLY,0.529411765,1,2.294117647,1.470588235,0.529411765
lanc,DEODORANT,0,3.736842105,0.578947368,0.052631579,2.421052632
lanc,DEPARTMENTALIZE,0.625,1.25,3,1.875,0.3125
lanc,DEPRECIATIVELY,0.473684211,0.894736842,1.947368421,0.789473684,0.842105263
lanc,DETACHER,0.785714286,2.285714286,0.928571429,0.714285714,0.857142857
lanc,DISENTANGLEMENT,1.571428571,2.285714286,2.214285714,1.071428571,1.571428571
lanc,DISORIENT,0.5,0.444444444,3,0.722222222,0.611111111
lanc,DISPROOF,0.25,0.4375,2.0625,1.5625,0.375
lanc,DISRESPECTFUL,0.222222222,0.611111111,2.166666667,1.944444444,0.222222222
lanc,DISSECT,0,3,1.888888889,0.111111111,0
lanc,DOGLIKE,1.058823529,1.176470588,2.058823529,1.470588235,0.764705882
lanc,DOUGH,0.166666667,2.833333333,1.611111111,2.555555556,0.222222222
lanc,DOZE,0.933333333,0.933333333,3.2,0.733333333,1.066666667
lanc,DRAGGED,2.1,3.1,1.15,0.6,1.85
lanc,DREARILY,0.294117647,0.352941176,1.882352941,1,0.294117647
lanc,DRUDGE,1.823529412,1.529411765,1.352941176,0.705882353,0.764705882
lanc,DRY CLEANER,0.904761905,1.80952381,1.761904762,0.761904762,0.904761905
lanc,EARLY,0.904761905,1,2.904761905,0.761904762,1.19047619
lanc,ECONOMY,0.2,0.3,1.2,0.4,0.2
lanc,EIGHT,1,1.647058824,2.705882353,1.764705882,0.882352941
lanc,ELECTROMETER,0.263157895,1.263157895,0.947368421,0.263157895,0.263157895
lanc,EMERGENCY EXIT,3.45,2.4,2.25,0.9,1.7
lanc,EMULATOR,0.333333333,0.533333333,2.066666667,0.733333333,0.266666667
lanc,ENGAGED,0.806451613,1.258064516,3.193548387,1.387096774,0.741935484
lanc,ENTRENCHMENT,1.071428571,1.357142857,1.142857143,0.928571429,1.071428571
lanc,ENTREPRENEURSHIP,1.058823529,1.411764706,2.647058824,2,1
lanc,EPILEPSY,1.588235294,1.705882353,3.352941176,1.352941176,1.764705882
lanc,EROGENOUS,1.571428571,1.857142857,2.571428571,1.785714286,1.857142857
lanc,EVOLVEMENT,0.9375,1.1875,2.0625,0.9375,0.9375
lanc,EXCOMMUNICABLE,0.615384615,0.692307692,1.538461538,0.923076923,0.846153846
lanc,EXPRESSION,0.777777778,1.5,3.555555556,3.611111111,0.777777778
lanc,EXTENDIBILITY,1.555555556,2.444444444,1,0.666666667,0.388888889
lanc,EXTENSIVELY,0.777777778,1.222222222,1.833333333,0.944444444,0.722222222
lanc,EXTRACTIVE,0.590909091,2.136363636,1.136363636,0.636363636,0.727272727
lanc,EXTREMISM,0.411764706,0.411764706,2.235294118,1.470588235,0.411764706
lanc,EYE DROPS,0.052631579,1.578947368,3.684210526,0,0.052631579
lanc,EYEWASH,0,2.111111111,3.5,0,0
lanc,FACTORY,1.411764706,1.470588235,2.352941176,0.941176471,0.764705882
lanc,FANGED,0.333333333,0.444444444,0.5,2.777777778,0.444444444
lanc,FAT CAT,0.444444444,1.944444444,2.333333333,0.722222222,0.666666667
lanc,FIENDLIKE,0.857142857,0.928571429,2.642857143,1.5,0.428571429
lanc,FILMGOER,1.266666667,0.866666667,3.666666667,0.933333333,0.866666667
lanc,FIND,0.9,1.65,2.15,0.65,0.35
lanc,FIREBOAT,0.882352941,0.941176471,2,0.411764706,0.411764706
lanc,FIRECRACKER,0.6,2.6,3.3,0.7,0.55
lanc,FLAMMABLE,0.95,2.1,1.7,0.9,1
lanc,FLUTE,0.647058824,2.764705882,2.294117647,3.058823529,0.588235294
lanc,FOODSTUFF,0.315789474,2.684210526,2.315789474,4.315789474,1.578947368
lanc,FORBIDDINGLY,0.842105263,1.421052632,1.526315789,1.315789474,0.894736842
lanc,FORMALLY,1.1,1.3,1.75,1.35,1.3
lanc,FOSTER,0,0.722222222,0.944444444,0.611111111,0
lanc,FRIDAY,1.705882353,1.705882353,2.764705882,2.058823529,1.647058824
lanc,FROWN,0,0.052631579,1.315789474,4.315789474,0.052631579
lanc,FRUIT SALAD,0.111111111,1.666666667,1.833333333,3.388888889,0.333333333
lanc,FUMIGANT,0.454545455,1,2.272727273,1.909090909,1.090909091
lanc,FUNERAL HOME,1.095238095,1.047619048,2.428571429,1.095238095,1.142857143
lanc,GARTER BELT,1.3125,2.0625,2.25,0.625,1.375
lanc,GHASTLY,0.277777778,0.666666667,1.5,1.166666667,0.611111111
lanc,GOOGLE,0.35,2.95,2.85,1.1,0.65
lanc,GRADER,0.210526316,1.736842105,2.052631579,0.894736842,0.315789474
lanc,GRANDBABY,0.777777778,1.833333333,2.333333333,1.166666667,0.777777778
lanc,GREENISH,0,0.111111111,2.388888889,0.277777778,0
lanc,GULP,0.111111111,0.222222222,1.166666667,4.722222222,1.111111111
lanc,GUSHINESS,0.066666667,0.666666667,2.4,1.933333333,0.133333333
lanc,HAILSTORM,0.894736842,1,1.736842105,0.684210526,0.473684211
lanc,HALFCOCKED,0.764705882,0.764705882,2.235294118,1.176470588,0.823529412
lanc,HAPPEN,1.05,1.05,1.6,1.15,1.05
lanc,HARM,1.470588235,2.117647059,2.235294118,1.764705882,1.117647059
lanc,HAVOC,1.315789474,1.736842105,3,1.315789474,1.210526316
lanc,HEMOPHILIA,0.8,0.8,1.6,0.533333333,1
lanc,HETEROSEXUAL,1.588235294,1.823529412,3.470588235,1.882352941,2.352941176
lanc,HIGHHANDED,0.176470588,1.647058824,1.823529412,1.352941176,0.235294118
lanc,HIMSELF,1.35,1.35,2.05,1.75,1.4
lanc,HINDRANCE,1,1.333333333,2,0.866666667,0.8
lanc,HOMESTEAD,1.222222222,1,1.444444444,0.722222222,1.055555556
lanc,HOUSEMASTER,0.5,0.875,1.625,1,0.375
lanc,HYSTERIC,1.210526316,1.736842105,3.368421053,2.421052632,1.263157895
lanc,ICING,0.263157895,1.894736842,1.631578947,2.473684211,0.210526316
lanc,ILLNESS,2.333333333,2.555555556,3.777777778,3.166666667,3.444444444
lanc,IMMIGRANT,0.45,0.65,1.45,1.2,0.45
lanc,IMPOLITE,0.904761905,1.238095238,2.476190476,2.428571429,0.857142857
lanc,INAUDIBILITY,0.222222222,0.333333333,3.5,1.388888889,0.055555556
lanc,INAUGURAL,0.473684211,0.684210526,2.315789474,1.105263158,0.368421053
lanc,INDIRECTLY,0.7,0.85,2.1,1,0.75
lanc,INFLAMER,0.2,0.933333333,0.933333333,0.933333333,0.4
lanc,INFLAMING,1.333333333,1.8,2.066666667,2.2,1.666666667
lanc,INFLEXIBLY,2.19047619,2.619047619,2.285714286,1.095238095,2
lanc,INSTITUTIONAL,0.166666667,0.166666667,1.222222222,0.277777778,0
lanc,INSTRUMENTALLY,0.647058824,2.058823529,2.705882353,1.588235294,0.882352941
lanc,INTERCEPT,1.176470588,2.294117647,2.176470588,1.470588235,0.647058824
lanc,INTERGROWTH,0.642857143,0.928571429,1.785714286,0.357142857,0.857142857
lanc,INTERN,1,1.35,1.85,1.3,0.75
lanc,INTERNALIZATION,0.111111111,0.5,2.166666667,0.388888889,0.388888889
lanc,INTOXICATING,0.684210526,1.105263158,3.368421053,2.421052632,0.578947368
lanc,KEEL,0.8,0.466666667,0.533333333,0.133333333,0.133333333
lanc,KEYCARD,0.277777778,3.777777778,1.555555556,0.166666667,0.222222222
lanc,KIND,0.5,0.95,3.1,2.55,0.85
lanc,KLUTZINESS,3.588235294,3.176470588,1.882352941,1.058823529,2.294117647
lanc,LAG,1.166666667,1.222222222,1.722222222,0.888888889,0.722222222
lanc,LASER,0.823529412,1.764705882,2.588235294,1,0.764705882
lanc,LEAFLET,0.166666667,3.222222222,2.777777778,0.722222222,0.277777778
lanc,LEANNESS,1.4,1.95,2.15,1.25,2.15
lanc,LESSENING,0.333333333,1.222222222,1.555555556,0.666666667,0.277777778
lanc,LIGHT BEAM,0.15,0.4,2.2,0.35,0.15
lanc,LIGHTLESS,0.333333333,0.277777778,2.333333333,0,0.222222222
lanc,LIGHTSWITCH,0.380952381,4.095238095,1.714285714,0.333333333,0.476190476
lanc,LINGUAL,0,0,1.705882353,2.705882353,0
lanc,LIPID,0.736842105,0.947368421,1.947368421,1.157894737,0.684210526
lanc,LIVER,0.055555556,0.333333333,0.833333333,1.277777778,3.555555556
lanc,LOGROLLING,1.6875,1.8125,1.875,0.4375,1.0625
lanc,LOOPING,0.666666667,1.166666667,1.444444444,0.333333333,0.611111111
lanc,LOOSELY,0.823529412,2.176470588,1.823529412,0.882352941,0.764705882
lanc,LOOSENESS,1.333333333,2.166666667,1.5,1.333333333,1.333333333
lanc,LUSTROUSLY,0,0.411764706,1.352941176,0.941176471,0
lanc,MAKEOVER,0.45,1.7,3.2,1.1,0.65
lanc,MANLY,1.75,1.95,2.45,1.65,2.1
lanc,MARBLING,0.111111111,0.944444444,1.111111111,0.444444444,0
lanc,MARRIED,0.764705882,1,2.235294118,1.470588235,0.764705882
lanc,MAY,0.333333333,0.333333333,0.833333333,0.566666667,0.333333333
lanc,MEAL,0.25,2.45,1.95,4.5,1.85
lanc,MEGAWATT,0.375,0.75,1.8125,0.625,0.1875
lanc,MICROCOMPUTER,0.263157895,1.894736842,1.947368421,0.263157895,0.263157895
lanc,MIDTERM,0.15,1.1,1.65,0.65,0.2
lanc,MIRTH,0.5,0.642857143,2.5,1.571428571,0.857142857
lanc,MISAPPROPRIATE,0,1,1.352941176,1.117647059,0
lanc,MISCHARACTERIZE,0.157894737,0.421052632,3.210526316,2.157894737,0.157894737
lanc,MONEYMAKER,1.055555556,1.444444444,2.5,1.666666667,1.055555556
lanc,MONOCLE,0.294117647,1.647058824,3.352941176,0.411764706,0.117647059
lanc,MOVE ON,3.210526316,0.947368421,1.947368421,0.789473684,0.736842105
lanc,MULL OVER,0.25,0.5,3.25,0.5,0.45
lanc,MULTISPECIES,0.375,0.9375,1.4375,1,0.5625
lanc,NATIONALISM,0.6,0.95,2.75,1.85,0.9
lanc,NEARSIGHTEDNESS,0,0.05,3.35,0.1,0.05
lanc,NEEDS,0.9,1,2.25,1.45,1.3
lanc,NEWSMONGER,0.368421053,1,2.368421053,1.894736842,0.421052632
lanc,NONCURRENT,0.166666667,0.222222222,1,0.666666667,0.277777778
lanc,NONPRODUCTIVELY,2,2.315789474,2.789473684,1.736842105,1.789473684
lanc,NONRESISTANT,1.25,1.6,1.4,1,1.3
lanc,NONSOCIAL,0.789473684,0.842105263,2.315789474,1.947368421,0.894736842
lanc,NOSEPIECE,0.153846154,0.769230769,3.384615385,0.230769231,0.153846154
lanc,NOUN,0.25,0.45,1.45,1.75,0.25
lanc,OLD FASHIONED,0.5,0.65,2.55,1.4,0.6
lanc,OSCILLATE,1.166666667,1.083333333,2.083333333,0.916666667,1.166666667
lanc,OUGHT,0.117647059,0.176470588,1.294117647,0.588235294,0.294117647
lanc,OUTPOUR,0.277777778,1.111111111,1.444444444,1.777777778,0.5
lanc,OUTRUN,4.45,1.6,1.55,0.45,1.5
lanc,OUTTAKE,0.6,0.9,2.3,1.1,0.4
lanc,PAPYRUS,0.375,1.875,2.3125,0.5,0.375
lanc,PARTYGOER,2.105263158,2.105263158,3.157894737,2.736842105,2.105263158
lanc,PASSENGER SHIP,0.842105263,0.736842105,1.421052632,0.736842105,0.736842105
lanc,PATIO,2.2,1.95,1.9,0.3,1.3
lanc,PEEWEE,0.722222222,1.111111111,1.833333333,0.444444444,0.611111111
lanc,PERCEPTIBLY,0.384615385,0.384615385,4,1,0.307692308
lanc,PERILOUSLY,0.9375,1.0625,1.875,1.1875,1.1875
lanc,PERSISTENT,1.2,1.35,2.85,1.5,1
lanc,PESSIMISM,0.5,0.65,3.1,1.8,0.7
lanc,PLACENTA,0.526315789,0.631578947,1.105263158,0.526315789,2.421052632
lanc,POLITICIAN,0.380952381,0.904761905,3.142857143,1.952380952,0.476190476
lanc,POSTMODERNIST,0.285714286,0.714285714,2.428571429,0.357142857,0.357142857
lanc,PRECARIOUS,0.9,0.95,2.25,0.8,0.65
lanc,PRECOLLEGE,0.411764706,0.352941176,2,0.823529412,0.352941176
lanc,PREDATOR,1.578947368,1.894736842,2.842105263,1.421052632,1.315789474
