source,word,foot_leg,hand_arm,head,mouth,torso
gpt35,ABBREVIATE,0,1.897,0.39,0.39,1.949
gpt35,ABODE,0.39,0.379,1.095,1.051,1.96
gpt35,ABSCESSED,0,0,0,0,1.949
gpt35,ABYSS,1.844,0,0.4,0,0.4
gpt35,ACCORDANCE,0,0,0.39,0,1.949
gpt35,ADJUNCT,0,0.379,0.39,0,0
gpt35,ADJUSTMENT,0.379,1.863,0.8,0.379,0.8
gpt35,AERIAL,0,0.39,1.939,0.39,0.4
gpt35,AERIALLY,0,0,1.939,0.39,0.4
gpt35,AFFECTIVE,0.39,0.379,1.789,1.051,0.4
gpt35,AFTERSALE,0,0.78,0.8,0.912,1.96
gpt35,AFTERSHAVE,0,0.894,1.554,0.8,0.657
gpt35,AGING,0,0,0.39,1.949,1.949
gpt35,ALERTNESS,0.379,0.39,0.8,0.379,0.8
gpt35,ALLUSIVELY,0,0,0,0,1.949
gpt35,ALOE VERA,0.369,0.78,0.8,1.857,1.939
gpt35,ALWAYS,0,0.78,2.059,1.17,0.8
gpt35,AMBITIOUSLY,0,0.8,1.793,1.166,0.78
gpt35,AMERICANIZE,0.42,2.077,1.265,0.379,1.166
gpt35,AMID,0.379,1.949,0.8,0.379,0.8
gpt35,ANTLER,2.059,1.748,2,0,1.949
gpt35,APPLY,0,1.491,0,0,0
gpt35,APPRECIATORY,0,0.748,1.793,0.748,0.78
gpt35,ARRESTINGLY,0,0,0,0,0
gpt35,ASSASSIN,0,0.78,1.939,0.39,0.4
gpt35,ASSIGNMENT,0.39,0.379,1.095,1.051,1.939
gpt35,ATMOSPHERE,0,0,0.39,0,1.949
gpt35,ATOMIC,1.138,1.949,1.6,0.759,0.4
gpt35,AUCTION OFF,0,1.939,0.759,1.549,1.17
gpt35,AVAIL,0,2,0,0,0
gpt35,BALCONY,0,2.449,0,0,0
gpt35,BASEBALL BAT,2.449,1.528,2,0,2.28
gpt35,BEFOUL,0,0.49,1.784,1.166,0.39
gpt35,BEFUDDLEMENT,0.379,0,0.8,0.379,0.8
gpt35,BEHAVIORAL,0,1.63,0.78,0,0
gpt35,BEIGE,0,2,0,0,0
gpt35,BELATEDNESS,0,0.78,1.96,0.78,0.8
gpt35,BEND,1.92,1.96,0,0,1.138
gpt35,BILLFOLD,2.227,1.528,0,0,0
gpt35,BIMOLECULAR,0.379,1.949,0.8,0.379,0.8
gpt35,BIOSPHERE,0,1.897,0.78,0,1.949
gpt35,BLOCKHEADED,0,0,1.863,0,1.949
gpt35,BLUECOAT,0,0.39,1.939,0.39,0.4
gpt35,BODY BUILDING,2.449,2.098,2.245,0,0.934
gpt35,BOMB,0,0.78,2.315,0.39,0.4
gpt35,BOO,0,0.748,1.748,1.166,0.78
gpt35,BOUNDLESS,0.379,0,0.8,0.379,0.8
gpt35,BRAINCHILD,0.39,0.379,1.789,1.051,0.4
gpt35,BRAINS,1.844,0.78,1.96,0.78,0.8
gpt35,BUBBLER,0,0.894,0.379,1.6,0.754
gpt35,BUDGET,0,1.554,0.78,0,1.949
gpt35,BUREAUCRAT,0,0.379,0.39,0,2.28
gpt35,BUSTED,0.39,1.784,1.789,1.051,0.4
gpt35,CALL GIRL,0,1.166,0.759,1.72,0.657
gpt35,CAMPER,0,1.368,2.059,1.17,1.2
gpt35,CANCER,0,0.8,1.793,0.8,0.754
gpt35,CASING,0,1.939,0,0,0
gpt35,CENT,0,0.78,1.96,0.78,0.8
gpt35,CHALLENGE,0,0,0.39,0,1.949
gpt35,CHART,0.379,1.949,0.8,0.379,0.8
gpt35,CHEERFULNESS,0,1.095,1.914,0.98,1.17
gpt35,CHEMISTRY,0.379,1.949,0.8,0.42,0.8
gpt35,CHOREOGRAPH,0.379,1.949,0.8,0.379,0.8
gpt35,CHURCHMAN,0.39,0.379,1.095,1.051,1.939
gpt35,CIVIL SUIT,0.379,0.39,0.8,0.379,0.8
gpt35,CLEANER,0,1.17,0.8,0.78,1.96
gpt35,CLEANUP,0.4,1.654,0.39,0,0
gpt35,CLEARINGHOUSE,0.379,0,1.2,0.759,0.8
gpt35,CLERGY,0.39,0.379,1.095,1.051,1.939
gpt35,CLIMATOLOGIC,0,0,0.78,0,0
gpt35,CLING TO,0.8,1.654,2,0,1.949
gpt35,CLOWNERY,0,1.897,0,0,0
gpt35,COIL,1.2,1.528,2,0,1.949
gpt35,COLLATERALLY,0,0.39,1.939,0.39,0.4
