source,word,foot_leg,hand_arm,head,mouth,torso
lanc,ABBREVIATE,0.501459857,1.940639552,2.081665999,1.718492471,0.713282504
lanc,ABODE,1.914854216,2.023816527,1.860779407,1.887458609,1.887458609
lanc,ABSCESSED,1.656378503,1.83275049,1.863963244,2.166173514,1.863963244
lanc,ABYSS,0.939336437,1.121317502,2.211267935,1.30045241,1.562426469
lanc,ACCORDANCE,0.777544316,1.274434387,1.778594584,1.883016631,0.594088526
lanc,ADJUNCT,0.774596669,1.486446706,2.016597795,1.8516402,0.774596669
lanc,ADJUSTMENT,1.806421295,2.016017729,1.809655713,1.790161547,1.977948609
lanc,AERIAL,1.319784098,1.339446769,2.270153028,1.319784098,1.150447483
lanc,AERIALLY,1.460817212,1.604731566,1.864704851,1.571810496,1.778594584
lanc,AFFECTIVE,1.311220136,1.576508838,1.706540566,1.706540566,1.414213562
lanc,AFTERSALE,1.680336101,1.474178624,1.539246909,1.262842525,1.236693885
lanc,AFTERSHAVE,1.273205652,1.915999121,2.207046133,2.173403831,1.317893055
lanc,AGING,1.729299335,1.757975026,1.600595127,1.986861608,1.868281614
lanc,ALERTNESS,1.644956642,1.80050828,0.704792186,1.757337558,1.711170528
lanc,ALLUSIVELY,1.290994449,1.183215957,1.869555588,1.869555588,1.175139303
lanc,ALOE VERA,1.43677677,1.728671193,1.835325871,1.397575177,1.311220136
lanc,ALWAYS,1.334558261,1.676441922,1.789584974,1.516790557,1.036900863
lanc,AMBITIOUSLY,1.555088632,1.916560099,1.460817212,2.083235292,1.854159782
lanc,AMERICANIZE,1.293523334,1.477500097,1.954548909,1.513555309,1.150447483
lanc,AMID,2.047236301,2.014652211,1.966633433,2.014652211,1.819017188
lanc,ANTLER,0.917662935,1.803181075,2.043388998,0.917662935,1.011628298
lanc,APPLY,1.585294261,2.305599591,1.731290969,1.552586975,1.235441536
lanc,APPRECIATORY,0.685994341,1.855040827,1.798692335,2.267091944,1.067570083
lanc,ARRESTINGLY,0.99620492,1.083624669,1.775250729,1.164500153,0.778498944
lanc,ASSASSIN,1.652571981,2.281376418,1.973508764,1.661395172,1.557851272
lanc,ASSIGNMENT,1.339446769,2.169304578,1.934381055,1.914000703,1.72353945
lanc,ATMOSPHERE,1.209092537,1.244033379,2.085094494,1.878449208,1.276154939
lanc,ATOMIC,1.613869624,1.613869624,2.229481607,2.121320344,1.613869624
lanc,AUCTION OFF,1.306482511,1.977168532,2.151983848,2.239663357,1.279816797
lanc,AVAIL,0.277350098,0.960768923,1.320450584,0.960768923,0.554700196
lanc,BALCONY,1.902599023,1.960128889,2.097060042,1.428613199,1.778691286
lanc,BASEBALL BAT,1.036900863,1.589384721,1.840893503,0.514495755,1.165966176
lanc,BEFOUL,1.276388133,1.504160896,1.927865832,1.74642492,1.25
lanc,BEFUDDLEMENT,0,0,2.097617696,1.927865832,0
lanc,BEHAVIORAL,1.313893371,1.409553867,2.258900524,1.66938375,1.313893371
lanc,BEIGE,1.175735064,1.175735064,2.059768691,1.221739358,0.861769725
lanc,BELATEDNESS,0.985184366,0.332105582,1.961017143,1.358524286,0.48507125
lanc,BEND,1.989445837,1.713721712,1.446411167,1.313893371,1.863782233
lanc,BILLFOLD,0.514495755,2.169304578,2.071436621,1.178511302,1.338226316
lanc,BIMOLECULAR,1.814086296,1.501514387,2.119176512,1.902151891,1.555050423
lanc,BIOSPHERE,1.558578412,1.586400538,1.887458609,1.611159003,1.668332501
lanc,BLOCKHEADED,1.360147051,1.138346754,1.962141687,1.962141687,0.577350269
lanc,BLUECOAT,0.816496581,2.016597795,2.099886618,1.579632266,1.927248223
lanc,BODY BUILDING,1.719743103,1.644956642,1.339446769,0.323380833,1.616904167
