source,word,auditory,gustatory,haptic,interoceptive,olfactory,visual
gpt35,ACOUSTICAL,3,0.4,0.2,0.6,0.2,0.6
gpt35,ACT ON,1,0.2,0.4,0.4,0.2,1.2
gpt35,ADMINISTRATION,1.4,0.2,1.8,0.8,0.2,1.8
gpt35,AFFIRMATIVELY,1.2,1.2,2,1,1.2,1
gpt35,AGGREGATIVE,1,0.4,0.4,0.6,0.6,1.8
gpt35,AGONIZINGLY,1.6,0.6,1.8,2.4,1.2,0.2
gpt35,AIMLESSLY,0.6,0.2,0.4,0.2,0.2,0.8
gpt35,AIRBAG,1.8,0.4,2,1.2,0,2
gpt35,ALMOND,0.2,3.6,3,1.6,2,2.8
gpt35,ALTERCATION,0.4,0.6,2,1.4,0.4,2.6
gpt35,ANGELICALLY,1.2,0.6,1.8,1,0.8,0.4
gpt35,APPEASE,1.6,0.2,0.4,0.6,0.2,1.2
gpt35,APPREHENSIBILITY,1.4,0.8,0.4,1.8,0.6,1.2
gpt35,ARDENTLY,1.4,0.8,0.6,1.4,0.6,1.2
gpt35,ASHTRAY,1.6,1,1.6,0.8,0.8,1.2
gpt35,ASSESSED,1.4,1.2,2.2,1.2,1,1
gpt35,ASSESSOR,0.8,0.2,1,1.2,0,1.4
gpt35,ATONE,0.6,0.2,0.8,1,0,1.2
gpt35,ATTACHMENT,1.4,0.2,0.8,0.6,0.2,1.4
gpt35,AUDITORY,3,0.4,0.2,0.6,0.2,0.6
gpt35,AUGMENT,1.6,0.6,0.8,1.2,0.4,1.8
gpt35,AWARE,2.2,1.2,2.4,1.4,1.6,1.4
gpt35,BALE,1.6,0.6,1.6,0.6,0.8,1
gpt35,BARBARIC,1.6,0.4,1,1,0.6,1.4
gpt35,BARRED,0.6,0.2,0.4,0.4,0.2,0.8
gpt35,BED,0.4,1.4,3,1.6,1,4
gpt35,BELIEVING,1.2,0.2,1.8,1.4,0.2,1.6
gpt35,BELL TOWER,0.4,1.2,2.8,1,1,4
gpt35,BEYOND,1.4,0.2,0.4,0.2,0.2,1.8
gpt35,BIBLIOGRAPHICALLY,1.6,0.4,0.8,0.6,0.6,1
gpt35,BLASPHEMOUSLY,1,0.2,1,1.2,0,1.4
gpt35,BLOCK,1.2,0.4,2,1.2,0,1.8
gpt35,BLOODTHIRSTILY,0.4,0.2,0.2,0.2,0.2,0.6
gpt35,BLUISHNESS,1.4,0.2,1.8,0.6,0,2.2
gpt35,BOOKBAG,0.2,1,2.8,1.2,0.8,3.4
gpt35,BOTANICALLY,1.6,0.8,1,0.8,0.8,0.8
gpt35,BOTH,1.8,0.6,2,2.4,1,3
gpt35,BRAISED,1.6,2.6,2.8,1.2,1.8,0.8
gpt35,BREEZELESS,1.2,0.8,0.6,1.2,0.6,1.8
gpt35,BUFFALO,0.2,1.6,2.4,1.6,1.6,2.6
gpt35,BULLISHNESS,1.6,0.8,2,1.2,1,0.6
gpt35,BUNTED,1.4,0.4,1.4,0.4,0.8,0.4
gpt35,BUTTERSCOTCH,1.4,3.6,0.6,0,1.2,1.2
gpt35,BUTTERY,1.2,2.2,1.8,1.6,1.2,1.6
gpt35,CAKE PAN,0.2,3.2,2.8,1.6,1.6,3.2
gpt35,CAMP,1.8,0.8,2.4,0.6,1,1
gpt35,CANNOT,1,1.2,0.4,1.2,0.6,0.8
gpt35,CARMAKER,2.2,0.6,1.6,0.8,0.2,2.2
gpt35,CASTLED,1.2,0.4,0.8,0.2,0.6,1.8
gpt35,CATEGORY,1.6,0.2,1.4,1.8,0,1.4
gpt35,CAUSER,0.6,0.2,0.6,0.2,0.2,0.8
gpt35,CENTERPIECES,0.2,1.6,2.8,1.6,1.2,3.6
gpt35,CENTRALIST,1,1,0.4,1.6,0.4,0.8
gpt35,CHAUVINISM,1,0.6,1.4,0.6,0.6,1
gpt35,CHILI PEPPER,1.4,2.8,0.8,1.4,1.4,1.4
gpt35,CHRISTEN,1.2,0.6,0.8,0.6,0.6,1.8
gpt35,CHRONICALLY,0.8,0,0.8,1,0,1.4
gpt35,CHUNK,1.6,0.8,1.6,0.6,0.8,1
gpt35,CIRCULAR,0.2,1.6,2.6,1,0.4,3.4
gpt35,CIVILIZING,1.4,1.2,2.2,1,1.2,1.2
gpt35,CLANK,1.6,1.2,1.4,1,1.6,1.6
gpt35,CLEANING LADY,2.2,1.4,2,0.8,1.6,1.4
gpt35,CLOAKED,0.8,0.6,1.4,0.6,0.8,0.4
gpt35,COACHWORK,1.4,0.4,1.6,1,0,1.8
gpt35,COASTWARD,1.6,0.6,1.2,0.8,0.8,2.4
gpt35,COHERE,0.8,0.2,0.6,0.2,0.2,1
gpt35,COMPLETE,1.6,0.8,2,1.2,1.2,1.2
gpt35,COMPREHENDINGLY,1.8,1,0.8,1.8,0.6,1.2
gpt35,COMPREHENSIBLY,1.6,1,2.2,1,0.8,1.4
gpt35,CONSUMERISM,1.6,1,2.2,1.2,1,1.2
gpt35,CONVICTABLE,1,0.2,1,1.4,0,1.4
gpt35,CORDIAL,1.2,1.4,1,1,1.4,2.4
gpt35,COUNCILWOMAN,0.4,1,2.2,1.4,0.8,3.4
gpt35,COUNTDOWN,2.6,0.6,1.6,0.6,1.2,1.2
