source,word,auditory,gustatory,haptic,interoceptive,olfactory,visual
lanc,ACOUSTICAL,3.882352941,0.529411765,1.058823529,0.882352941,0.529411765,1.647058824
lanc,ACT ON,1.647058824,0.235294118,0.529411765,1.470588235,0.294117647,2.823529412
lanc,ADMINISTRATION,2.1875,0,0.125,0.9375,0,3.4375
lanc,AFFIRMATIVELY,2.333333333,0.476190476,0.714285714,1.285714286,0.333333333,2.428571429
lanc,AGGREGATIVE,1.785714286,0.214285714,1.357142857,1,0.214285714,3.142857143
lanc,AGONIZINGLY,1.176470588,0.352941176,1.058823529,3.058823529,0.411764706,2.352941176
lanc,AIMLESSLY,1.619047619,0.476190476,1.142857143,1.952380952,0.714285714,2.857142857
lanc,AIRBAG,1.2,0,1.8,1,0.25,3.35
lanc,ALMOND,0.277777778,4.611111111,3.333333333,0.333333333,2.166666667,4
lanc,ALTERCATION,3.333333333,0,1.066666667,1.866666667,0.066666667,4.466666667
lanc,ANGELICALLY,2.05,0,0.5,1.35,0.2,2.4
lanc,APPEASE,2,0.722222222,0.833333333,1.611111111,0.611111111,2.611111111
lanc,APPREHENSIBILITY,1.8,0.133333333,0.066666667,3.466666667,0.266666667,1.933333333
lanc,ARDENTLY,1.214285714,0.428571429,0.642857143,1.857142857,0.5,1.5
lanc,ASHTRAY,0.25,0.2,1.4,0.4,2.15,3.8
lanc,ASSESSED,1.611111111,0.833333333,1.388888889,1.166666667,1.055555556,2.388888889
lanc,ASSESSOR,1.157894737,0.578947368,1.157894737,0.578947368,0.631578947,2.263157895
lanc,ATONE,2.066666667,0,0.666666667,2.133333333,0.4,1.933333333
lanc,ATTACHMENT,1.590909091,0.727272727,2.272727273,2.5,1.090909091,2.818181818
lanc,AUDITORY,3.761904762,0.476190476,0.80952381,0.857142857,0.761904762,1
lanc,AUGMENT,0.833333333,0.083333333,1,0.916666667,0.166666667,3.083333333
lanc,AWARE,2.619047619,0.952380952,1.476190476,3.238095238,1.19047619,2.571428571
lanc,BALE,0.75,0.4375,2.3125,0.375,0.9375,3.625
lanc,BARBARIC,2,0.166666667,0.611111111,1.944444444,0.333333333,2.944444444
lanc,BARRED,1.333333333,0.238095238,1.523809524,1,0.19047619,2.857142857
lanc,BED,0.894736842,0.263157895,4.421052632,1.473684211,0.842105263,4.105263158
lanc,BELIEVING,2.631578947,0.684210526,0.578947368,3.894736842,0.631578947,2.052631579
lanc,BELL TOWER,4.166666667,0,1.666666667,0.277777778,0.166666667,4.166666667
lanc,BEYOND,1.619047619,0.619047619,1,1.428571429,0.523809524,2.761904762
lanc,BIBLIOGRAPHICALLY,2.055555556,0.333333333,0.5,0.277777778,0.166666667,3.833333333
lanc,BLASPHEMOUSLY,2.3125,0.25,0.125,1.3125,0.3125,2.1875
lanc,BLOCK,0.945945946,0.27027027,2.27027027,0.567567568,0.216216216,3.459459459
lanc,BLOODTHIRSTILY,1.789473684,0.631578947,0.578947368,2.736842105,0.473684211,2.789473684
lanc,BLUISHNESS,0.117647059,0.058823529,0.705882353,1.529411765,0.058823529,3.352941176
lanc,BOOKBAG,0.421052632,0.315789474,3.947368421,0.368421053,0.473684211,4.578947368
lanc,BOTANICALLY,0.5625,0.875,1.75,0.5625,1.9375,3.625
lanc,BOTH,2.05,0.55,2.1,1.1,0.5,3.15
lanc,BRAISED,0.411764706,2.647058824,1.117647059,0.647058824,1.941176471,2.411764706
lanc,BREEZELESS,1.4375,0,1.875,1.4375,0.125,1.75
lanc,BUFFALO,2.277777778,1.555555556,1.666666667,0.444444444,1.5,4.333333333
lanc,BULLISHNESS,1.125,0.125,0.5625,1.9375,0.0625,2.4375
lanc,BUNTED,1.176470588,0.294117647,2.352941176,0.294117647,0.176470588,3.647058824
lanc,BUTTERSCOTCH,0.727272727,4.272727273,1.681818182,1.181818182,3.090909091,2.909090909
lanc,BUTTERY,0.434782609,3.826086957,2.086956522,0.826086957,2.173913043,2.304347826
lanc,CAKE PAN,0.722222222,0.666666667,2.833333333,0.111111111,0.388888889,4.166666667
lanc,CAMP,1.842105263,0.526315789,1.894736842,0.473684211,1.526315789,3.526315789
lanc,CANNOT,2.444444444,0,0.166666667,1,0.166666667,1.555555556
lanc,CARMAKER,1.4375,0,1,0.25,0.5,3.3125
lanc,CASTLED,0.6,0,0.3,0.4,0,3
lanc,CATEGORY,1.222222222,0.777777778,1,0.888888889,0.722222222,2
lanc,CAUSER,1.785714286,0.285714286,0.5,0.571428571,0.071428571,2.714285714
lanc,CENTERPIECES,0.352941176,0.294117647,2.117647059,0.235294118,0.705882353,4.352941176
lanc,CENTRALIST,1,0,0,0.461538462,0,1
lanc,CHAUVINISM,2.785714286,0.571428571,0.785714286,1.642857143,0.571428571,3.071428571
lanc,CHILI PEPPER,0.25,4.75,2.0625,2,3.5,3.75
lanc,CHRISTEN,1.578947368,0.052631579,0.842105263,0.684210526,0.263157895,2.947368421
lanc,CHRONICALLY,0.944444444,0.166666667,0.944444444,2.444444444,0.166666667,2.166666667
lanc,CHUNK,0.25,1.125,2.5,0.8125,0.1875,3.6875
lanc,CIRCULAR,0.111111111,0,2.5,0.333333333,0,3.888888889
lanc,CIVILIZING,1.611111111,0,0.055555556,0.555555556,0.055555556,2.388888889
lanc,CLANK,3.5,0.5,1.35,1.15,0.65,1.6
lanc,CLEANING LADY,2,0.260869565,0.565217391,0.434782609,0.782608696,3.608695652
lanc,CLOAKED,0.444444444,0.194444444,1,0.944444444,0.333333333,3.527777778
lanc,COACHWORK,2,0.307692308,0.384615385,0.461538462,0,3.384615385
lanc,COASTWARD,0.266666667,0.266666667,0.266666667,0.2,0.333333333,3.066666667
lanc,COHERE,2.545454545,0.636363636,1,0.727272727,0.636363636,2.727272727
lanc,COMPLETE,1.631578947,0.631578947,1.684210526,2.315789474,0.684210526,3.631578947
lanc,COMPREHENDINGLY,2.888888889,0.333333333,0.333333333,1.666666667,0.111111111,1.444444444
lanc,COMPREHENSIBLY,2.19047619,0.80952381,0.904761905,1.666666667,0.904761905,2.333333333
lanc,CONSUMERISM,0.944444444,0.5,1.222222222,0.666666667,0.277777778,2.388888889
lanc,CONVICTABLE,1.631578947,0.052631579,0.526315789,0.894736842,0.157894737,2.105263158
lanc,CORDIAL,3.444444444,0.055555556,0.333333333,1.722222222,0.277777778,3.055555556
lanc,COUNCILWOMAN,3.5625,0,0.1875,0.375,0.0625,4.25
lanc,COUNTDOWN,3.263157895,0.210526316,0.210526316,0.842105263,0.157894737,3.684210526
lanc,COUNTERACTION,1.894736842,0.315789474,1.105263158,1.157894737,0.210526316,3.473684211
lanc,COUNTERFEIT,1.052631579,0.473684211,2.157894737,0.894736842,0.473684211,3.736842105
lanc,COUNTERREVOLUTION,1.533333333,0,0.466666667,0.733333333,0.066666667,2.933333333
lanc,COUNTERSTRIKE,2.526315789,0.578947368,1.368421053,0.736842105,0.421052632,3.631578947
lanc,CRATER,0.695652174,0.347826087,1.043478261,0.739130435,0.608695652,3.565217391
lanc,CREDITABLY,2.25,0,0,1.6875,0.0625,2.5
lanc,CRESTED,0.277777778,0.222222222,1.277777778,0.555555556,0.222222222,2.277777778
lanc,CREWLESS,0.894736842,0.157894737,0.157894737,0.421052632,0,3.210526316
lanc,CRIMINALIZE,2.3,0.2,0.2,0.5,0.15,2.1
lanc,CRISP,2.2,2.4,3.15,0.8,0.7,1.95
lanc,CRUCIFIX,0.888888889,0,1.722222222,1,0,3.777777778
lanc,CRUISE,2.1875,0.3125,0.5625,1.125,0.9375,3.625
lanc,CRUNCH,4.05,1.2,1.9,1.3,0.05,1.55
lanc,CURATOR,2.111111111,0.222222222,0.944444444,0.388888889,0.222222222,4
lanc,CURIOSITY,2.368421053,0.947368421,1.526315789,3.473684211,1.157894737,2.894736842
lanc,CURVE BALL,1.043478261,0.217391304,1.739130435,0.695652174,0.173913043,3.739130435
lanc,DANCEFLOOR,1.388888889,0,2.222222222,0.388888889,0.277777778,4.277777778
lanc,DANGEROUS,2.05,0.2,1,3.2,0.75,3.35
lanc,DEAD ON,2.047619048,0.80952381,1.142857143,1.19047619,0.80952381,2.476190476
lanc,DECAFFEINATE,0.608695652,2.47826087,0.52173913,1.913043478,1.217391304,1.260869565
lanc,DECIPHERER,1.947368421,0.526315789,0.894736842,1.210526316,0.684210526,2.157894737
lanc,DEEPENING,1.95,0.75,1.7,1.85,0.85,2.55
lanc,DEFORMITY,0.368421053,0.052631579,1.526315789,1.421052632,0,3.473684211
lanc,DEPLORED,1.733333333,0,0.2,1.6,0,2
lanc,DEPLOY,1.705882353,0,1,0.647058824,0.235294118,3.470588235
lanc,DEVILISHNESS,2.25,0.5,0.85,1.95,0.6,2.65
lanc,DEW,0.176470588,0.529411765,3.294117647,0.411764706,0.882352941,3.882352941
lanc,DIFFUSIBLE,1.210526316,0.263157895,1.157894737,0.947368421,0.421052632,2.473684211
lanc,DILIGENCE,2,0.65,1.25,1.85,0.75,2.55
lanc,DINNERTIME,2.166666667,3.555555556,0.722222222,1.777777778,3.277777778,3.444444444
lanc,DIRECTIONALITY,1.176470588,0,0.823529412,1,0.058823529,2
lanc,DISCOMBOBULATE,1.333333333,0.133333333,0.666666667,2.533333333,0.333333333,2.6
lanc,DISCONTINUOUSLY,1.538461538,0.230769231,0.769230769,0.846153846,0.230769231,2.769230769
lanc,DISHEVELMENT,0.75,0.25,0.875,1.3125,0.3125,2.6875
lanc,DISILLUSION,2,0.3,0.5,2.6,0.3,2.5
lanc,DISORDERED,1.631578947,0.526315789,1.105263158,0.842105263,0.368421053,4.052631579
lanc,DISTANCE,1.761904762,0.714285714,1.428571429,1.285714286,0.571428571,3.19047619
lanc,DIVULGENCE,2.388888889,1.277777778,1,2.222222222,0.944444444,2
lanc,DOMINATIVE,2.117647059,0.235294118,0.352941176,1.823529412,0.235294118,2.588235294
lanc,DOUBLED,1.227272727,0.272727273,1.227272727,0.909090909,0.454545455,2.863636364
lanc,DREAMFUL,1,0.333333333,0.666666667,3.066666667,0.266666667,2.2
lanc,DRINKING WATER,0.473684211,4.315789474,1.684210526,2.736842105,0.473684211,2.421052632
lanc,DRUNKENNESS,1.956521739,1.47826087,1.130434783,3.347826087,1.956521739,2.956521739
lanc,DUFFEL BAG,0.684210526,0.421052632,3.421052632,0.315789474,0.473684211,3.947368421
lanc,DUNCE,2,0,0.1875,1.0625,0,2.25
lanc,EERILY,2.3,0.05,1,2.75,0.4,2.65
lanc,ELECTROMAGNET,1.058823529,0.058823529,2.294117647,0.764705882,0.117647059,3.764705882
