source,word,auditory,gustatory,haptic,interoceptive,olfactory,visual
lanc,ACOUSTICAL,1.317305628,1.067570083,1.638237934,1.218726433,1.178857872,1.765686002
lanc,ACT ON,1.765686002,0.562295715,1.124591429,1.771921523,0.771743633,1.740520544
lanc,ADMINISTRATION,1.600781059,0,0.5,1.52616076,0,1.71148084
lanc,AFFIRMATIVELY,1.957890021,1.249761882,1.383577144,1.707127914,0.856348839,1.719634513
lanc,AGGREGATIVE,1.805060043,0.578934224,1.78054196,1.568929081,0.578934224,2.143223412
lanc,AGONIZINGLY,1.810914621,1.221739358,1.675954513,2.135140166,1.227743027,1.902011319
lanc,AIMLESSLY,1.716863142,1.030487633,1.651838802,1.745743122,1.488047618,1.651838802
lanc,AIRBAG,1.673320053,0,1.823819012,1.622214211,0.716350399,1.78517285
lanc,ALMOND,1.178511302,0.607684989,1.84709629,0.84016805,1.977818168,1.45521375
lanc,ALTERCATION,1.5430335,0,1.751190072,1.959105724,0.25819889,0.743223353
lanc,ANGELICALLY,1.791059669,0,1.277332747,1.496487115,0.894427191,1.788854382
lanc,APPEASE,2.196253494,1.708303443,1.504893977,1.974510777,1.500544563,2.173067468
lanc,APPREHENSIBILITY,1.473576795,0.516397779,0.25819889,1.505545305,1.032795559,1.751190072
lanc,ARDENTLY,1.311403912,0.851630627,1.081817762,2.070196678,0.940539943,1.400549343
lanc,ASHTRAY,0.716350399,0.695852374,1.465390194,1.231174023,1.78517285,1.609184167
lanc,ASSESSED,1.786843714,1.58113883,1.753614381,1.689065178,1.589384721,1.85151413
lanc,ASSESSOR,1.344253527,1.121298329,1.641921567,1.070606758,1.164785451,1.939132259
lanc,ATONE,1.667618776,0,1.290994449,1.995232413,1.121223821,1.830950833
lanc,ATTACHMENT,1.763629669,1.386390249,1.93173542,2.132514724,1.630340044,1.842264746
lanc,AUDITORY,1.757975026,0.92838826,1.536848972,1.276154939,1.578124263,1.61245155
lanc,AUGMENT,1.749458791,0.288675135,1.348399725,1.729862492,0.389249472,1.880924982
lanc,AWARE,2.01186954,1.687488977,1.860619456,1.670471847,1.88730092,1.989256861
lanc,BALE,1.238278375,0.963932916,1.887458609,1.087811258,1.481834449,1.857417562
lanc,BARBARIC,2.057983022,0.514495755,1.195033295,1.893400993,0.766964989,2.235337117
lanc,BARRED,1.712697677,0.889087279,1.96517296,1.673320053,0.601585208,1.878449208
lanc,BED,1.048530021,0.805681579,0.837707817,1.775400457,1.462993806,1.448935887
lanc,BELIEVING,2.113725682,1.492672159,1.346426937,1.196974744,1.382852379,2.040525102
lanc,BELL TOWER,1.150447483,0,2,0.57451315,0.514495755,1.248528546
lanc,BEYOND,1.716863142,1.244033379,1.732050808,1.748468718,1.123345344,1.70014005
lanc,BIBLIOGRAPHICALLY,1.862074183,0.9701425,0.923548145,0.669113158,0.514495755,1.689065178
lanc,BLASPHEMOUSLY,2.182315284,1,0.5,2.023816527,1.25,2.136000936
lanc,BLOCK,1.50823565,0.838273644,1.952898823,1.281070311,0.712395612,1.693034662
