source,word,ld,nm,freq,cd,measure
scope,affair,636.606,580.84,3.176958981,2.921686475,m
scope,aisle,709.618,691.929,2.579783597,2.45484486,m
scope,anchor,610.515,627.593,2.57863921,2.276461804,m
scope,anger,604.242,603.577,2.996511672,2.806179974,m
scope,ant,592.871,628.696,2.437750563,2.049218023,m
scope,applause,611.375,640.462,2.761175813,2.559906625,m
scope,apple,618.531,608.778,3.082066934,2.838849091,m
scope,apron,784.125,639.593,2.136720567,2.033423755,m
scope,arson,711.355,643.308,2.187520721,1.954242509,m
scope,art,521.742,576.04,3.557747742,3.204662512,m
scope,artist,615.182,580,3.164650216,2.889861721,m
scope,aspect,667.194,647.63,2.29666519,2.235528447,m
scope,asthma,732,633.44,2.29666519,2.100370545,m
scope,attempt,608.353,639.577,2.989449818,2.876794976,m
scope,author,538.559,557.808,2.608526034,2.401400541,m
scope,baby,523.818,583,4.41462243,3.706632451,m
scope,balloon,745.484,634.593,2.646403726,2.418301291,m
scope,ban,675.267,565.429,2.206825876,1.929418926,m
scope,bandage,792.452,677.792,2.167317335,2.100370545,m
scope,basket,649.882,584.071,2.828015064,2.632457292,m
scope,battle,567.545,543.741,3.333648757,3.051923916,m
scope,bead,688.121,758.524,1.763427994,1.69019608,m
scope,beer,587.182,574.074,3.585573519,3.256717746,m
scope,beggar,725.344,622.357,2.103803721,1.944482672,m
scope,belief,587.971,573.63,2.589949601,2.494154594,m
scope,bitch,646.25,620.926,3.935003151,3.45484486,m
scope,blame,546.314,576.12,3.476976466,3.323458367,m
scope,bliss,627.688,595.519,2.206825876,2.079181246,m
scope,blister,658.844,594.821,1.69019608,1.602059991,m
scope,blood,571.97,573.071,3.977403481,3.54740546,m
scope,blouse,674.697,582.607,2.436162647,2.274157849,m
scope,boast,626.242,574.148,1.740362689,1.72427587,m
scope,bondage,715.259,659.071,1.944482672,1.77815125,m
scope,bonnet,673.625,654.818,1.982271233,1.73239376,m
scope,bounce,564.706,607.185,2.701567985,2.536558443,m
scope,bowel,667.129,686.429,2.264817823,2.103803721,m
scope,bowl,602.03,633.962,3.039414119,2.834420704,m
scope,bracket,808.156,599.821,1.51851394,1.301029996,m
scope,breakfast,639.353,580,3.529173603,3.29380436,m
scope,breast,631.971,640.615,2.660865478,2.501059262,m
scope,bulge,708.167,630.308,1.69019608,1.62324929,m
scope,button,597.645,572.885,3.15896526,2.954724791,m
scope,camp,652.909,620.926,3.41713941,3.039414119,m
scope,cancer,616.529,621.32,3.056904851,2.772321707,m
scope,candle,580.647,625.143,2.612783857,2.465382851,m
scope,candy,684.188,627.852,3.261500773,2.95568775,m
scope,canoe,723.581,685.536,2.26245109,1.886490725,m
