Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD
ACOUSTICAL,3.882352941,0.529411765,1.058823529,0.882352941,0.529411765,1.647058824,0.35,0.8,3.25,1.1,0.35,1.317305628,1.067570083,1.638237934,1.218726433,1.178857872,1.765686002,0.988086934,1.361114095,1.802775638,1.744163199,0.988086934
ACT ON,1.647058824,0.235294118,0.529411765,1.470588235,0.294117647,2.823529412,2.238095238,2.619047619,2.904761905,2.238095238,2,1.765686002,0.562295715,1.124591429,1.771921523,0.771743633,1.740520544,2.119074371,2.108937896,1.868281614,1.946914531,1.949358869
ADMINISTRATION,2.1875,0,0.125,0.9375,0,3.4375,0.421052632,1.105263158,3,2.210526316,0.210526316,1.600781059,0,0.5,1.52616076,0,1.71148084,1.017392608,1.760515608,2,2.016017729,0.713282504
AFFIRMATIVELY,2.333333333,0.476190476,0.714285714,1.285714286,0.333333333,2.428571429,0.5,1,2.611111111,2.444444444,0.277777778,1.957890021,1.249761882,1.383577144,1.707127914,0.856348839,1.719634513,1.294785924,1.644956642,2.199970291,2.306569192,0.826442095
AGGREGATIVE,1.785714286,0.214285714,1.357142857,1,0.214285714,3.142857143,0.888888889,1.777777778,3.055555556,1.555555556,0.944444444,1.805060043,0.578934224,1.78054196,1.568929081,0.578934224,2.143223412,1.278274981,1.895988197,2.099642049,1.652884189,1.349170648
AGONIZINGLY,1.176470588,0.352941176,1.058823529,3.058823529,0.411764706,2.352941176,1.2,1.55,2.25,2.05,1.9,1.810914621,1.221739358,1.675954513,2.135140166,1.227743027,1.902011319,1.704483252,1.877147893,1.943274502,2.064104241,2.023545612
AIMLESSLY,1.619047619,0.476190476,1.142857143,1.952380952,0.714285714,2.857142857,1.85,1.4,2.6,1.1,0.9,1.716863142,1.030487633,1.651838802,1.745743122,1.488047618,1.651838802,1.843195166,1.465390194,2.036508881,1.518309309,1.293709477
AIRBAG,1.2,0,1.8,1,0.25,3.35,0.666666667,1.476190476,2.714285714,1.523809524,1.857142857,1.673320053,0,1.823819012,1.622214211,0.716350399,1.78517285,0.912870929,1.536848972,1.707127914,1.721018525,1.558387445
ALMOND,0.277777778,4.611111111,3.333333333,0.333333333,2.166666667,4,0.19047619,2.19047619,2.19047619,3.714285714,0.80952381,1.178511302,0.607684989,1.84709629,0.84016805,1.977818168,1.45521375,0.511766316,1.833549771,2.08851736,1.927248223,1.66189794
ALTERCATION,3.333333333,0,1.066666667,1.866666667,0.066666667,4.466666667,1.526315789,2.789473684,2.789473684,2.789473684,1.526315789,1.5430335,0,1.751190072,1.959105724,0.25819889,0.743223353,1.806421295,1.988269694,1.750522061,2.149391319,1.645479365
ANGELICALLY,2.05,0,0.5,1.35,0.2,2.4,1.210526316,1.526315789,2.578947368,2.105263158,1.263157895,1.791059669,0,1.277332747,1.496487115,0.894427191,1.788854382,1.873171623,1.954152873,2.008752777,1.969058908,1.880960312
APPEASE,2,0.722222222,0.833333333,1.611111111,0.611111111,2.611111111,0.7,1.45,2.7,3.2,0.8,2.196253494,1.708303443,1.504893977,1.974510777,1.500544563,2.173067468,1.080935268,1.731290969,2.226633049,2.041671142,1.281446551
APPREHENSIBILITY,1.8,0.133333333,0.066666667,3.466666667,0.266666667,1.933333333,0.722222222,1.055555556,2.611111111,1.944444444,0.833333333,1.473576795,0.516397779,0.25819889,1.505545305,1.032795559,1.751190072,1.319784098,1.433720878,2.004080804,2.013840996,1.339446769
ARDENTLY,1.214285714,0.428571429,0.642857143,1.857142857,0.5,1.5,0.6,1.133333333,1.866666667,1.466666667,0.8,1.311403912,0.851630627,1.081817762,2.070196678,0.940539943,1.400549343,1.298350602,1.767430203,1.767430203,1.807392228,1.473576795
ASHTRAY,0.25,0.2,1.4,0.4,2.15,3.8,0.19047619,2.380952381,2.142857143,0.761904762,0.285714286,0.716350399,0.695852374,1.465390194,1.231174023,1.78517285,1.609184167,0.601585208,1.935876816,1.8516402,1.300183137,0.902377811
ASSESSED,1.611111111,0.833333333,1.388888889,1.166666667,1.055555556,2.388888889,0.95,1.45,2.8,1.5,0.65,1.786843714,1.58113883,1.753614381,1.689065178,1.589384721,1.85151413,1.731290969,1.848897253,1.962812161,1.732050808,1.386969434
ASSESSOR,1.157894737,0.578947368,1.157894737,0.578947368,0.631578947,2.263157895,0.823529412,0.882352941,1.823529412,1.176470588,0.823529412,1.344253527,1.121298329,1.641921567,1.070606758,1.164785451,1.939132259,1.740520544,1.691240408,1.878672873,1.845104811,1.590412451
ATONE,2.066666667,0,0.666666667,2.133333333,0.4,1.933333333,0.666666667,1.166666667,2.611111111,2.833333333,0.833333333,1.667618776,0,1.290994449,1.995232413,1.121223821,1.830950833,1.371988681,1.382665797,2.004080804,2.093407018,1.504893977
ATTACHMENT,1.590909091,0.727272727,2.272727273,2.5,1.090909091,2.818181818,0.777777778,2.111111111,2.555555556,1.388888889,1.222222222,1.763629669,1.386390249,1.93173542,2.132514724,1.630340044,1.842264746,1.628985811,1.996729352,2.228748586,1.719743103,1.733936547
AUDITORY,3.761904762,0.476190476,0.80952381,0.857142857,0.761904762,1,0.1,0.2,4.15,1,0.1,1.757975026,0.92838826,1.536848972,1.276154939,1.578124263,1.61245155,0.307793506,0.695852374,1.496487115,1.946657054,0.307793506
AUGMENT,0.833333333,0.083333333,1,0.916666667,0.166666667,3.083333333,0.631578947,2.052631579,2.157894737,1.052631579,0.473684211,1.749458791,0.288675135,1.348399725,1.729862492,0.389249472,1.880924982,1.342076596,1.778691286,1.979426345,1.544656891,1.123902974
AWARE,2.619047619,0.952380952,1.476190476,3.238095238,1.19047619,2.571428571,0.75,0.85,3.5,1.3,0.7,2.01186954,1.687488977,1.860619456,1.670471847,1.88730092,1.989256861,1.409553867,1.496487115,1.791794161,1.75018796,1.341640786
BALE,0.75,0.4375,2.3125,0.375,0.9375,3.625,1.142857143,2.80952381,2.619047619,0.380952381,1.285714286,1.238278375,0.963932916,1.887458609,1.087811258,1.481834449,1.857417562,1.31475147,1.96517296,2.155833724,0.804747816,1.521277659
BARBARIC,2,0.166666667,0.611111111,1.944444444,0.333333333,2.944444444,1.15,1.55,2.75,1.55,1.15,2.057983022,0.514495755,1.195033295,1.893400993,0.766964989,2.235337117,1.954078057,2.038446261,2.173403831,1.848897253,1.87153188
BARRED,1.333333333,0.238095238,1.523809524,1,0.19047619,2.857142857,1.444444444,1.444444444,2,0.722222222,1.111111111,1.712697677,0.889087279,1.96517296,1.673320053,0.601585208,1.878449208,2.064325049,2.064325049,2.029198625,1.637988564,1.843554396
BED,0.894736842,0.263157895,4.421052632,1.473684211,0.842105263,4.105263158,3.047619048,3,3.714285714,0.952380952,3.380952381,1.048530021,0.805681579,0.837707817,1.775400457,1.462993806,1.448935887,1.96153487,1.949358869,1.82051798,1.564486832,1.96153487
BELIEVING,2.631578947,0.684210526,0.578947368,3.894736842,0.631578947,2.052631579,0.19047619,0.857142857,3.761904762,1.238095238,0.476190476,2.113725682,1.492672159,1.346426937,1.196974744,1.382852379,2.040525102,0.511766316,1.492840055,1.921061215,1.546116487,1.077916862
