mother,1.629,0.897
sleep,1.677,0.83
hand,1.722,1.044
baby,1.844,0.972
pillow,1.971,1.082
rain,2,0.888
sister,2,1.171
tiger,2.029,0.985
cuddle,2.057,1.094
rattle,2.091,1.525
toast,2.118,1.078
picture,2.212,0.977
people,2.235,1.238
chew,2.314,1.166
hit,2.324,0.962
bounce,2.364,1.01
jacket,2.4,1.126
carpet,2.429,1.022
goose,2.441,1.063
parrot,2.455,1.076
child,2.484,0.98
cough,2.514,1.131
donkey,2.543,1.104
dance,2.546,1.208
treasure,2.6,1.047
wood,2.629,1.044
candy,2.686,1.304
forehead,2.743,1.078
spit,2.758,1.232
comb,2.788,1.122
necklace,2.8,1.116
puzzle,2.8,1.141
couch,2.818,1.086
knock,2.849,1.373
tumble,2.857,1.099
hate,2.857,1.496
bandage,2.912,1.292
kill,2.943,1.12
handle,2.971,1.23
hall,3,1.541
lettuce,3.056,1.413
soldier,3.061,1.347
city,3.065,1.216
leopard,3.091,1.288
dessert,3.118,1.345
melon,3.156,1.003
stretch,3.188,1.31
camp,3.2,1.45
pest,3.219,1.408
artist,3.265,1.038
blame,3.286,1.185
spinach,3.333,1.198
dare,3.364,1.226
mischief,3.377,1.395
reason,3.382,1.261
power,3.412,1.375
troll,3.429,1.42
traffic,3.452,1.16
message,3.471,1.169
item,3.529,1.218
walrus,3.571,1.479
wallet,3.606,1.229
applause,3.629,1.396
ban,3.667,1.341
clover,3.677,1.344
settle,3.714,1.523
date,3.735,1.481
lobster,3.743,1.13
sweater,3.807,1.595
ruffle,3.829,1.576
cloak,3.861,1.494
spirit,3.909,1.288
blouse,3.912,1.579
carriage,3.938,1.321
cotton,3.941,1.187
walnut,3.97,1.403
luggage,3.972,1.443
panther,3.972,1.658
asthma,4.029,1.295
menace,4.086,1.461
mansion,4.097,1.201
shame,4.118,1.278
beer,4.147,1.478
shrug,4.194,1.43
sin,4.2,1.635
stab,4.206,1.389
harvest,4.219,1.386
python,4.229,1.416
project,4.235,1.214
nuisance,4.257,1.25
stock,4.273,1.42
romance,4.294,1.318
beggar,4.303,1.446
breast,4.324,1.429
issue,4.412,1.309
pheasant,4.441,1.557
pride,4.486,1.339
neutral,4.5,1.266
compass,4.5,1.289
bonnet,4.515,1.708
moisture,4.594,1.271
rubble,4.613,1.236
device,4.618,1.415
chord,4.647,1.453
bulge,4.677,1.344
doubt,4.677,1.429
phantom,4.697,1.314
cancer,4.758,1.415
vulture,4.771,1.311
pleasure,4.771,1.587
progress,4.794,1.207
pint,4.824,1.599
ulcer,4.857,1.457
midst,4.886,1.368
phase,4.943,1.241
trend,4.971,1.339
smear,5.029,1.341
stride,5.029,1.382
hostess,5.057,1.433
reject,5.057,1.473
glee,5.086,1.61
morsel,5.121,1.43
status,5.143,1.312
urge,5.147,1.263
monarch,5.171,1.521
lumber,5.188,1.446
grind,5.229,1.333
outrage,5.235,1.214
nurture,5.294,1.362
virtue,5.314,1.389
shaft,5.355,1.284
despair,5.371,1.071
yeast,5.382,1.329
crude,5.419,1.29
essence,5.441,1.241
cease,5.471,1.311
concept,5.5,1.219
feat,5.552,1.428
treason,5.571,1.271
ordeal,5.583,1.479
slum,5.613,1.127
picket,5.645,1.259
taboo,5.886,1.389
toxin,5.912,1.121
clergy,5.941,1.259
arson,5.971,1.071
methane,6.177,1.042
incest,6.412,0.943
