dandruff,2.5,1.561
lettuce,2.556,1.863
ceiling,2.849,1.925
garbage,2.853,1.665
pamphlet,2.882,1.891
gloom,2.882,2.069
bowel,3,1.837
bowl,3,2.27
ant,3.029,1.757
beggar,3.031,1.896
walnut,3.091,1.764
string,3.118,2.04
bonnet,3.129,2.06
spinach,3.152,1.725
item,3.212,2.011
blister,3.235,2.157
column,3.242,1.81
comb,3.25,1.937
methane,3.273,2.287
curtain,3.323,1.907
mural,3.355,2.072
report,3.371,1.914
luggage,3.382,1.863
stock,3.438,1.853
piece,3.471,1.77
trousers,3.515,1.828
carpet,3.529,1.819
leaf,3.543,2.322
cotton,3.559,2.225
fault,3.588,2.102
pension,3.607,2.257
office,3.613,1.861
smear,3.636,2.101
ham,3.636,2.32
sorrow,3.657,2.495
couch,3.667,2.077
asthma,3.667,2.3
button,3.677,2.219
donkey,3.706,2.149
waitress,3.727,2.273
bead,3.758,1.939
spit,3.813,2.228
fleet,3.824,2.431
incest,3.849,2.765
aspect,3.857,2.086
usher,3.857,2.1
canoe,3.886,2.188
chew,3.906,2.112
walrus,3.939,2.386
cottage,3.971,1.978
plasma,3.971,2.104
shame,3.971,2.229
traffic,4,1.904
cough,4.059,1.909
coffin,4.061,2.558
slum,4.065,2.422
reptile,4.086,2.347
pumpkin,4.125,2.176
hammock,4.152,2.19
reject,4.171,2.558
cloak,4.182,2.236
tortoise,4.194,2.306
issue,4.206,2.083
pest,4.219,2.218
child,4.226,2.09
fuss,4.265,1.945
feat,4.267,2.128
cancer,4.281,2.54
baby,4.29,2.593
carcass,4.303,2.564
ease,4.314,2.108
troll,4.324,2.676
bulge,4.333,2.17
blame,4.343,2.151
texture,4.4,2.194
faith,4.406,2.668
smell,4.441,2.44
snort,4.455,2.311
melon,4.484,2.138
greed,4.485,2.311
disgust,4.514,2.196
escort,4.543,2.129
neglect,4.576,2.85
passage,4.586,2.252
despair,4.588,2.83
reason,4.594,2.163
guilt,4.625,2.355
rain,4.636,2.447
toast,4.656,2.159
apple,4.677,2.138
sandwich,4.719,2.183
concept,4.735,2.2
person,4.743,2.371
grind,4.771,2.38
forge,4.781,1.996
moment,4.813,2.186
trumpet,4.818,1.976
surgeon,4.829,2.21
needle,4.829,2.731
nurture,4.849,2.337
treason,4.849,2.463
picture,4.879,2.226
chord,4.906,2.227
console,4.912,2.035
pillow,4.914,2.26
doctrine,4.968,2.469
breakfast,5.029,2.479
glacier,5.059,2.222
prison,5.063,2.061
shaft,5.065,2.184
kill,5.086,3.157
slave,5.092,2.641
puzzle,5.118,2.246
hate,5.147,2.892
beer,5.177,2.107
arson,5.206,2.898
sleep,5.273,2.81
phantom,5.294,2.371
soldier,5.313,2.555
belief,5.333,2.292
toxin,5.353,2.363
venom,5.353,2.622
police,5.375,2.342
caution,5.4,2.428
island,5.438,2.277
mistress,5.441,2.569
victim,5.486,2.298
launch,5.516,1.965
date,5.559,2.452
punch,5.567,2.472
battle,5.576,2.45
husband,5.588,2.251
anger,5.636,2.568
taboo,5.657,2.39
doom,5.688,2.698
people,5.697,2.081
hostage,5.714,2.614
leopard,5.75,1.837
leisure,5.765,2.302
sin,5.781,2.328
outrage,5.794,2.687
palace,5.807,2.278
pride,5.857,2.206
power,5.882,2.576
bondage,5.909,2.598
wisdom,5.939,2.335
affair,5.969,2.391
trouble,6.029,2.384
monster,6.121,2.212
wrath,6.129,2.196
justice,6.143,1.743
crisis,6.147,2.366
stab,6.182,2.43
heaven,6.219,2.176
tiger,6.235,2.25
glee,6.242,2.283
risk,6.324,2.206
crystal,6.371,2.016
art,6.394,2.187
cure,6.419,1.931
bliss,6.455,2.451
flourish,6.5,1.944
sparkle,6.529,2.159
cuddle,6.629,2.071
bitch,6.727,2.526
food,6.735,1.771
hope,6.849,1.725
romance,7.086,2.116
triumph,7.088,1.616
freedom,7.2,1.704
pleasure,7.257,1.81
lust,7.353,1.73
