snail,2.531,1.346
flea,2.656,1.761
clergy,2.844,1.787
hall,2.867,1.335
pause,2.879,1.701
suburb,2.938,1.413
bracket,2.938,1.499
cricket,3,1.97
pheasant,3.031,1.61
mug,3.059,1.589
settle,3.091,1.602
transit,3.125,1.763
shrug,3.147,1.683
county,3.212,1.572
vowel,3.212,1.701
yeast,3.219,1.781
midst,3.242,1.634
basket,3.257,1.679
line,3.313,1.59
lumber,3.355,1.514
table,3.357,1.674
forehead,3.382,1.609
strand,3.382,1.663
method,3.441,1.557
sentence,3.469,1.52
pity,3.515,1.708
morsel,3.531,1.658
limit,3.543,1.746
gist,3.559,1.973
slope,3.6,1.945
toilet,3.6,2.031
phase,3.618,1.732
stove,3.636,1.755
version,3.647,1.607
ulcer,3.657,1.999
function,3.667,1.77
cushion,3.677,2.04
goose,3.686,1.909
sweater,3.697,2.022
attempt,3.727,1.847
packet,3.765,1.767
hand,3.794,2.111
duty,3.824,2.162
product,3.829,1.797
service,3.853,1.942
saloon,3.875,1.996
throat,3.886,1.617
pupil,3.914,1.61
merchant,3.936,1.544
contract,3.971,1.594
tulip,3.971,1.993
neutral,4,1.59
script,4.031,1.794
crab,4.057,1.756
context,4.061,1.953
nuisance,4.086,2.075
signal,4.091,2.137
cease,4.125,2.058
shirt,4.133,1.91
recall,4.156,1.394
carriage,4.182,2.066
whimper,4.194,2.007
bandage,4.2,1.894
clover,4.206,2.111
closure,4.242,1.923
excuse,4.25,1.803
doubt,4.273,1.927
role,4.281,2.019
camp,4.294,1.948
parrot,4.303,2.316
rubble,4.313,1.878
portrait,4.324,1.859
squash,4.343,1.881
resort,4.367,1.975
mirror,4.382,1.941
jacket,4.412,1.665
scalpel,4.455,1.986
rattle,4.455,2.031
employ,4.485,1.94
metal,4.5,1.904
vulture,4.529,2.018
hurdle,4.546,1.777
tumble,4.546,1.827
consent,4.588,2.088
ordeal,4.588,2.184
project,4.594,1.918
picket,4.621,1.919
fiction,4.647,2.14
boast,4.667,1.87
verge,4.697,1.867
author,4.735,1.945
message,4.743,1.826
seed,4.758,1.558
notion,4.774,2.011
town,4.788,1.513
gain,4.788,2.027
zebra,4.818,1.749
pelvis,4.824,1.963
giraffe,4.829,2.274
balloon,4.849,1.743
stretch,4.871,1.621
candle,4.903,1.784
plea,4.912,1.522
lobster,4.914,1.795
harvest,4.933,2.128
desert,4.968,2.117
lunch,5.029,2.051
wallet,5.03,1.605
model,5.065,1.917
hostess,5.086,2.062
doctor,5.088,1.721
trend,5.091,1.865
wrestle,5.121,1.935
trust,5.147,2.031
necklace,5.2,1.894
honey,5.206,2.069
artist,5.235,2.21
whisper,5.281,1.891
crude,5.303,1.467
nectar,5.314,2.053
monkey,5.353,2.181
hit,5.371,2.256
moisture,5.375,1.409
malice,5.394,2.201
health,5.406,2.044
virtue,5.471,2.047
status,5.5,1.719
guitar,5.548,1.864
progress,5.559,2.075
prince,5.567,1.627
menace,5.576,1.892
python,5.588,1.881
game,5.636,1.982
essence,5.667,1.98
chest,5.677,1.532
bounce,5.697,1.867
sword,5.714,2.3
respect,5.743,1.73
mate,5.771,1.709
jungle,5.788,2.129
panther,5.8,2.265
culture,5.824,1.947
fame,5.844,1.938
castle,5.875,2.027
costume,5.909,2.094
mansion,5.969,1.723
urge,5.97,1.834
shark,6.046,2.086
prestige,6.059,1.999
impress,6.143,1.641
myth,6.147,1.574
marvel,6.147,2.144
city,6.161,1.851
wish,6.194,1.615
dare,6.242,2.001
breast,6.294,1.758
spring,6.313,1.944
spirit,6.375,1.495
squeeze,6.382,1.749
dance,6.424,1.688
typhoon,6.455,2.105
talent,6.515,1.725
caress,6.563,1.836
applause,6.686,1.652
wit,6.697,1.193
success,6.8,1.6
luck,6.849,1.438
treasure,6.909,1.865
delight,7.091,1.485
knowledge,7.129,1.184
courage,7.206,1.106
fire,7.548,1.316
