wisdom,1.936,1.162
concept,2.057,1.393
luck,2.206,1.53
faith,2.286,1.631
heaven,2.314,1.563
wish,2.344,1.449
knowledge,2.387,1.517
trust,2.441,1.575
spirit,2.469,1.887
guilt,2.529,1.289
blame,2.543,1.61
fault,2.576,1.326
mood,2.6,1.335
sin,2.606,1.536
bliss,2.667,1.837
fame,2.677,1.73
excuse,2.727,1.543
sorrow,2.765,1.554
closure,2.771,1.623
lust,2.794,1.677
belief,2.824,1.977
ease,2.829,1.424
version,2.844,1.787
terror,2.853,1.683
power,2.879,1.451
justice,2.971,1.558
progress,3,1.414
wrath,3,1.837
duty,3.059,1.748
status,3.059,1.798
disgust,3.121,1.737
despair,3.125,1.933
hate,3.143,1.823
culture,3.188,1.878
passion,3.194,1.839
risk,3.194,1.908
outrage,3.2,1.77
nurture,3.257,1.842
talent,3.281,1.681
recall,3.333,1.531
consent,3.364,1.72
console,3.382,1.732
leisure,3.457,1.81
romance,3.486,1.842
ban,3.576,1.724
attempt,3.629,1.587
anger,3.647,1.813
forge,3.719,1.807
cease,3.742,1.684
crisis,3.743,2.019
doctrine,3.774,1.754
plea,3.8,1.527
monster,3.882,2.097
sparkle,3.939,1.841
vowel,3.97,1.766
verge,4.063,1.767
incest,4.118,1.967
kill,4.229,1.806
project,4.242,1.518
smell,4.303,1.93
troll,4.343,2.267
victim,4.371,1.675
art,4.382,2.156
squeeze,4.529,1.649
bounce,4.531,1.658
tumble,4.656,1.632
arson,4.714,1.578
bondage,4.788,1.737
dance,4.807,1.554
slum,4.875,1.635
signal,4.886,1.753
lumber,5.065,1.9
junk,5.088,1.597
bulge,5.125,1.495
plasma,5.171,1.404
message,5.171,1.54
treasure,5.206,1.659
monarch,5.286,1.56
model,5.324,1.64
device,5.382,1.663
hostage,5.429,1.479
methane,5.429,1.591
cuddle,5.486,1.422
script,5.529,1.398
artist,5.546,1.707
cancer,5.563,1.435
item,5.594,1.538
lunch,5.606,1.278
clergy,5.636,1.648
mural,5.645,1.617
princess,5.677,1.622
rattle,5.706,1.544
cricket,5.719,1.484
slope,5.735,1.335
honey,5.8,1.508
knock,5.807,1.229
column,5.824,1.271
beggar,5.844,1.439
picture,5.912,1.422
packet,5.97,1.267
bandage,5.971,1.276
husband,5.971,1.543
blouse,6,1.495
scalpel,6.029,1.483
rubble,6.032,1.379
blood,6.057,1.308
bowel,6.091,1.164
crystal,6.114,1.347
desert,6.125,1.431
dessert,6.177,1.042
walnut,6.212,1.273
garbage,6.242,1.256
bead,6.281,0.943
palace,6.29,1.053
carriage,6.303,0.969
island,6.313,1.236
leaf,6.324,1.156
toast,6.344,1.135
dandruff,6.364,1.039
person,6.371,1.149
soldier,6.375,1.166
stove,6.406,1.195
compass,6.412,1.061
mug,6.424,1.016
goose,6.429,1.178
cotton,6.438,0.998
python,6.441,0.881
throat,6.457,0.936
anchor,6.471,0.848
jungle,6.485,0.957
cattle,6.5,0.978
pamphlet,6.546,0.956
monkey,6.559,0.881
donkey,6.588,0.844
pheasant,6.618,0.875
candle,6.621,0.665
ant,6.629,0.865
beer,6.629,0.897
spinach,6.667,0.765
snail,6.704,0.656
leopard,6.727,0.75
cottage,6.765,0.597
pumpkin,6.788,0.591
trumpet,6.794,0.583
coffin,6.844,0.507
