slave,2.27,2.169
prison,2.344,1.864
crisis,2.829,1.844
whore,2.906,1.809
shame,3.059,1.893
terror,3.118,2.18
cancer,3.194,2.752
plea,3.235,1.956
limit,3.4,2.059
sorrow,3.6,2.114
police,3.719,2.649
pension,3.75,1.765
blame,3.765,2.073
ulcer,3.857,1.693
typhoon,3.875,2.355
ban,3.906,2.296
fraud,3.941,2.155
clergy,3.969,1.811
stab,4.059,2.566
taboo,4.118,1.952
slope,4.147,2.13
soldier,4.161,2.438
suburb,4.25,1.768
desert,4.258,2.228
monster,4.273,2.39
nuisance,4.294,1.775
baby,4.313,2.615
fault,4.324,1.859
reject,4.333,2.531
hate,4.353,2.949
doctrine,4.367,2.652
kill,4.371,3.181
pest,4.419,1.828
carcass,4.433,1.499
affair,4.441,2.403
duty,4.485,2.363
wrath,4.5,2.232
contract,4.5,2.428
heaven,4.514,2.383
venom,4.546,2.203
bondage,4.594,2.892
anger,4.618,2.364
faith,4.618,2.567
cotton,4.647,1.453
vulture,4.647,2.085
greed,4.647,2.235
circuit,4.677,1.585
console,4.677,1.89
service,4.697,1.679
cease,4.706,1.918
employ,4.706,2.163
wallet,4.71,1.708
script,4.727,1.879
pheasant,4.735,1.703
malice,4.735,2.133
lust,4.743,2.832
town,4.75,1.696
bitch,4.758,2.547
blood,4.765,1.516
product,4.771,1.658
treason,4.788,2.041
moth,4.813,1.55
monarch,4.818,2.668
report,4.829,2.118
context,4.833,1.267
disgust,4.853,2.088
tiger,4.853,2.403
stomach,4.882,1.529
luck,4.882,2.687
cuddle,4.886,2.447
snail,4.9,1.3
figment,4.903,1.729
culture,4.903,2.085
mother,4.914,2.59
picket,4.933,1.459
city,4.936,2.169
vowel,4.939,1.369
urge,4.97,2.222
garbage,4.971,2.121
crude,5,1.323
leopard,5,1.758
grind,5,1.775
model,5.029,1.828
princess,5.029,2.189
prince,5.063,2.249
menace,5.088,2.174
arson,5.088,2.381
candy,5.114,1.785
mistress,5.118,2.233
fame,5.125,2.713
belief,5.143,2.509
piece,5.147,1.115
date,5.152,1.909
pupil,5.156,1.787
reptile,5.171,1.404
fire,5.182,2.43
sentence,5.194,1.712
portrait,5.242,1.303
dessert,5.242,1.875
excuse,5.25,2.151
sister,5.257,1.556
puzzle,5.257,1.61
signal,5.265,1.804
project,5.281,1.841
giraffe,5.286,1.278
honey,5.286,1.798
contempt,5.286,1.95
ruffle,5.303,1.586
closure,5.313,2.242
palace,5.323,2.319
donkey,5.343,1.689
chest,5.344,1.779
beer,5.353,1.861
hurdle,5.364,1.789
husband,5.382,1.698
ladder,5.394,1.922
trousers,5.412,1.417
cattle,5.412,2.184
metal,5.419,1.409
compass,5.441,2.117
carpet,5.455,1.94
clover,5.457,1.662
people,5.457,2.359
aspect,5.469,1.414
wrestle,5.471,2.265
fortress,5.484,2.312
sleep,5.485,2.664
romance,5.486,1.918
spit,5.5,2.062
squash,5.543,1.746
pillow,5.543,2.234
reason,5.546,1.94
chauffeur,5.559,2.379
parade,5.563,1.321
mural,5.567,1.309
dare,5.594,2.075
outrage,5.6,2.381
spring,5.618,1.553
nurture,5.618,2.115
forge,5.621,1.789
breast,5.647,1.432
column,5.656,1.613
role,5.667,1.82
squeeze,5.697,2.222
stove,5.706,1.758
trust,5.706,2.022
hand,5.735,2.062
marvel,5.75,1.837
mischief,5.765,1.949
delight,5.824,1.79
dinner,5.849,1.351
concept,5.886,1.785
dance,5.909,1.848
castle,5.968,1.975
bliss,5.969,2.243
pleasure,5.97,2.38
status,5.971,2.007
hit,5.971,2.236
flourish,6.059,2.248
spirit,6.091,2.021
virtue,6.147,2.198
punch,6.156,2.078
launch,6.188,1.57
justice,6.206,1.937
hope,6.212,2.129
prestige,6.219,2.011
consent,6.364,2.422
progress,6.531,1.561
food,6.606,1.874
pride,6.794,2.041
respect,7,1.645
triumph,7.229,1.838
power,7.242,2.283
freedom,7.735,1.461
