hostage,2.286,1.994
despair,2.424,1.181
whimper,2.903,1.228
dread,3,1.39
guilt,3.118,1.694
neglect,3.188,1.81
coffin,3.212,1.919
traffic,3.219,1.515
doubt,3.382,1.515
gloom,3.559,1.735
slum,3.688,2.053
pity,3.727,1.42
dandruff,3.758,1.615
blister,3.857,1.376
tumble,3.879,1.273
morsel,3.903,1.692
trend,3.909,1.602
smell,3.97,1.403
rain,4.029,1.654
troll,4.088,1.56
toxin,4.147,1.942
incest,4.206,1.937
strand,4.257,1.36
usher,4.265,1.787
escort,4.265,1.836
verge,4.313,1.424
beggar,4.323,2.161
farewell,4.324,1.604
apron,4.344,1.492
phantom,4.353,2.071
shark,4.358,2.348
flea,4.375,1.781
class,4.412,1.611
bandage,4.441,1.333
cough,4.457,1.887
needle,4.486,1.826
toilet,4.5,1.714
ant,4.514,1.962
office,4.515,1.672
lace,4.543,1.574
python,4.576,1.985
cricket,4.618,1.476
sin,4.625,2.421
bracket,4.643,0.895
ceiling,4.647,1.713
fuss,4.667,1.531
methane,4.677,1.344
moisture,4.688,0.846
midst,4.706,1.249
bowel,4.706,1.425
aisle,4.71,1.223
pamphlet,4.727,1.213
walnut,4.727,1.503
line,4.735,1.441
issue,4.735,2.019
junk,4.743,1.537
fiction,4.758,1.28
complex,4.758,1.892
crab,4.771,1.396
neutral,4.774,1.099
stock,4.781,1.672
phase,4.8,1.19
county,4.818,1.403
cushion,4.824,1.543
saloon,4.833,1.067
glacier,4.839,1.851
trouble,4.879,2.253
camp,4.882,1.367
risk,4.882,1.827
settle,4.886,1.997
curtain,4.893,1.08
hall,4.903,1.118
rattle,4.909,1.525
string,4.914,1.68
rubble,4.936,1.343
yeast,4.938,0.864
bonnet,4.966,1.217
spinach,4.97,1.487
ham,5,1.195
plasma,5,1.213
smear,5,1.531
walrus,5.029,1.15
cottage,5.029,1.599
table,5.033,1.14
mirror,5.063,1.391
sweater,5.071,0.961
lumber,5.094,1.422
forehead,5.114,1.237
sandwich,5.118,1.586
blouse,5.125,1.409
anchor,5.143,2.257
item,5.147,0.944
carriage,5.156,1.394
passage,5.167,1.267
basket,5.171,1.055
parrot,5.182,1.336
merchant,5.188,1.488
tortoise,5.241,1.194
resort,5.242,1.652
monkey,5.257,0.769
packet,5.257,1.179
wood,5.265,1.066
pelvis,5.273,1.543
trumpet,5.273,1.601
texture,5.286,1.161
waitress,5.286,1.523
jungle,5.29,1.083
hammock,5.294,1.226
wish,5.313,1.722
stretch,5.323,1.329
bowl,5.324,1.23
couch,5.344,1.428
lettuce,5.353,1.661
balloon,5.375,1.452
knock,5.387,1.43
zebra,5.406,1.343
pumpkin,5.412,1.166
leaf,5.412,1.849
melon,5.419,1.13
caress,5.424,1.776
luggage,5.457,1.48
throat,5.457,1.537
method,5.457,1.679
person,5.471,1.311
health,5.484,1.757
apple,5.485,1.209
version,5.485,1.282
device,5.486,1.296
harvest,5.516,1.341
message,5.543,1.273
author,5.546,1.76
button,5.559,1.575
battle,5.559,2.145
notion,5.567,1.202
nectar,5.571,1.077
breakfast,5.588,1.536
shirt,5.6,1.405
comb,5.618,1.284
function,5.618,1.681
lunch,5.629,0.959
seed,5.656,1.314
game,5.667,1.428
guitar,5.688,1.285
chord,5.697,1.359
cloak,5.706,1.525
moment,5.719,1.441
attempt,5.743,1.36
essence,5.758,1.498
recall,5.781,1.672
sparkle,5.818,1.623
crystal,5.829,1.159
costume,5.849,1.559
art,5.938,1.694
jewel,5.941,1.571
candle,5.969,1.425
handle,5.97,1.749
mate,5.971,1.671
cure,6,1.561
chew,6.059,1.662
bounce,6.065,1.435
ease,6.143,1.838
mammal,6.152,1.559
head,6.171,1.383
glee,6.212,1.754
sword,6.212,1.996
boast,6.273,1.42
wit,6.355,1.536
gain,6.471,1.44
talent,6.606,1.687
mansion,6.719,1.7
wisdom,6.931,1.437
knowledge,7.226,1.717
success,7.588,1.375
courage,7.758,1.303
