forge,3.467,1.784
taboo,3.647,1.861
fleet,3.677,1.859
plasma,3.686,2.053
toxin,3.735,1.852
feat,3.933,1.931
methane,3.939,1.906
picket,4,2.11
menace,4.029,1.978
merchant,4.069,1.946
python,4.152,1.893
fortress,4.194,1.804
pheasant,4.235,2.059
saloon,4.29,2.035
bondage,4.324,2.111
slave,4.368,1.86
typhoon,4.424,2.147
essence,4.469,1.871
rattle,4.485,1.909
flea,4.515,1.94
walrus,4.531,2.076
midst,4.548,1.846
fraud,4.559,1.866
carriage,4.581,1.845
notion,4.6,1.625
bowel,4.618,1.971
incest,4.656,1.93
hammock,4.677,1.856
virtue,4.688,2.068
squash,4.743,1.778
scalpel,4.758,1.955
panther,4.774,1.946
farewell,4.788,2.114
hostess,4.818,1.749
glacier,4.818,1.914
battle,4.897,1.863
clover,4.909,1.781
snort,4.912,1.738
sweater,4.923,1.999
ordeal,4.936,1.759
dandruff,5,1.792
gist,5.029,1.839
tulip,5.03,1.8
county,5.094,1.877
parrot,5.097,1.802
sword,5.121,1.771
shark,5.156,1.914
cloak,5.156,2.078
asthma,5.182,1.585
pumpkin,5.182,1.817
zebra,5.192,1.882
stock,5.2,1.536
moth,5.207,1.648
chord,5.212,1.552
luggage,5.235,1.986
giraffe,5.242,1.67
blouse,5.281,1.807
princess,5.281,1.988
spirit,5.29,1.954
crab,5.303,1.586
mischief,5.303,1.633
jungle,5.323,1.803
courage,5.324,1.567
kill,5.344,1.743
camp,5.367,1.643
stove,5.367,1.816
prison,5.379,1.495
pest,5.4,1.541
slope,5.406,1.869
junk,5.424,1.538
soldier,5.444,1.853
script,5.452,1.499
sin,5.455,1.76
bandage,5.5,1.649
disgust,5.531,1.52
ant,5.546,1.458
blister,5.559,1.418
monster,5.563,1.676
desert,5.581,1.432
lace,5.588,1.629
candy,5.594,1.902
needle,5.606,1.705
concept,5.618,1.476
faith,5.625,1.635
island,5.625,1.635
cotton,5.636,1.592
monkey,5.647,1.661
surgeon,5.667,1.341
costume,5.688,1.57
fault,5.71,1.3
dare,5.719,1.352
line,5.735,1.379
vowel,5.75,1.479
pride,5.758,1.875
bitch,5.774,1.361
lust,5.781,1.363
bounce,5.781,1.408
fiction,5.839,1.416
shrug,5.853,1.593
luck,5.879,1.552
trouble,5.882,1.471
report,5.909,1.311
belief,5.912,1.483
castle,5.931,1.258
method,5.938,1.368
author,5.941,1.305
curtain,5.96,1.311
fame,5.967,1.663
consent,5.969,1.262
guilt,6,1.279
doubt,6.029,1.098
hall,6.037,1.291
item,6.059,1.282
traffic,6.067,1.365
throat,6.091,1.111
string,6.091,1.138
hate,6.114,1.282
trust,6.133,1.204
dessert,6.147,1.375
hit,6.152,1.258
ham,6.177,1.15
breast,6.188,1.158
piece,6.206,1.278
leaf,6.212,1.148
tiger,6.212,1.225
mug,6.219,1.082
dance,6.233,1.174
message,6.235,1.086
spring,6.242,1.156
candle,6.259,1.075
toast,6.267,1.031
bowl,6.281,1.231
wood,6.303,1.058
carpet,6.324,1.077
cuddle,6.353,0.967
art,6.364,1.123
lettuce,6.375,1.166
guitar,6.435,1.014
cancer,6.452,0.945
sentence,6.467,0.921
breakfast,6.5,1.064
rain,6.576,1.045
mother,6.613,1.037
dinner,6.629,0.929
sandwich,6.677,0.736
lunch,6.75,0.612
sleep,6.844,0.441
