phantom,3.515,1.579
marvel,3.588,1.682
whimper,3.654,1.44
carcass,3.688,1.828
wrath,3.7,1.636
slum,3.903,1.784
prestige,3.969,1.705
morsel,3.97,1.946
malice,4.03,1.817
transit,4.147,1.478
harvest,4.172,1.662
smear,4.188,1.424
vulture,4.212,1.838
doom,4.31,1.783
pamphlet,4.364,1.755
flourish,4.382,1.715
nectar,4.441,1.63
tumble,4.467,1.668
suburb,4.483,1.567
dread,4.5,1.68
walnut,4.531,1.871
resort,4.533,1.708
plea,4.563,1.6
caress,4.581,1.498
crude,4.6,1.381
apron,4.615,1.734
column,4.667,1.7
neglect,4.667,1.717
cricket,4.688,1.944
closure,4.75,1.541
palace,4.759,1.43
grind,4.771,1.675
venom,4.788,1.903
console,4.807,1.574
aisle,4.867,1.455
launch,4.9,1.599
aspect,4.906,1.608
spit,4.912,1.616
hostage,4.912,1.837
myth,4.938,1.6
compass,4.968,1.448
lobster,5.029,1.654
phase,5.031,1.262
despair,5.094,1.608
parade,5.121,1.552
snail,5.125,1.641
rubble,5.156,1.734
bulge,5.161,1.668
triumph,5.182,1.466
pension,5.185,1.701
boast,5.194,1.468
seed,5.207,1.349
terror,5.212,1.533
wit,5.214,1.264
cattle,5.233,1.707
treasure,5.265,1.4
leopard,5.281,1.586
donkey,5.281,1.807
portrait,5.294,1.446
settle,5.303,1.267
trend,5.321,1.167
neutral,5.323,1.511
version,5.333,1.295
status,5.344,1.553
wisdom,5.357,1.493
duty,5.375,1.596
mammal,5.382,1.237
greed,5.406,1.32
urge,5.419,1.454
outrage,5.438,1.171
role,5.448,1.248
contract,5.452,1.187
service,5.455,1.616
leisure,5.5,1.44
context,5.516,1.388
cure,5.556,1.286
cottage,5.563,1.223
sparkle,5.576,1.303
handle,5.576,1.326
delight,5.588,1.216
issue,5.606,1.229
employ,5.606,1.556
moisture,5.615,1.243
goose,5.625,1.341
fuss,5.636,1.432
pity,5.645,1.309
shame,5.647,1.37
melon,5.667,1.186
justice,5.697,1.337
metal,5.704,1.149
function,5.727,1.023
limit,5.735,1.267
ceiling,5.75,1.25
signal,5.758,1.232
power,5.774,1.21
puzzle,5.781,1.023
balloon,5.794,1.207
risk,5.839,1.081
pause,5.871,1.157
artist,5.879,1.365
couch,5.9,1.35
device,5.912,1.095
reason,5.912,1.337
baby,5.929,1.067
cushion,5.936,1.243
ladder,5.941,1.187
project,5.964,1.017
talent,5.966,1.159
impress,6,1.029
pleasure,6,1.173
applause,6.03,0.937
passion,6.031,1.104
waitress,6.063,1.088
wallet,6.071,0.961
wish,6.077,0.917
packet,6.097,0.962
excuse,6.103,1.094
date,6.121,0.977
freedom,6.152,1.077
button,6.156,0.87
chew,6.161,0.987
office,6.194,0.997
cough,6.206,1.023
husband,6.212,1.037
blood,6.219,0.992
mood,6.226,0.792
knowledge,6.231,0.973
anger,6.235,0.877
necklace,6.242,0.889
stretch,6.25,0.785
romance,6.273,0.789
culture,6.281,0.91
success,6.303,0.904
game,6.323,0.929
progress,6.344,0.643
hope,6.364,0.948
town,6.379,0.806
shirt,6.435,0.876
doctor,6.455,0.82
respect,6.471,0.696
sister,6.516,0.757
pillow,6.563,0.899
health,6.607,0.724
beer,6.618,0.728
trousers,6.688,0.583
head,6.758,0.494
food,6.87,0.337
