breast,1.303,0.937
hostess,1.486,0.841
whore,1.867,0.991
bitch,1.939,1.205
lace,2.029,1.175
mistress,2.088,1.541
crystal,2.118,1.132
model,2.353,0.997
flourish,2.412,1.331
bliss,2.455,1.157
bonnet,2.7,1.754
mirror,2.706,1.016
dessert,2.771,1.375
virtue,2.8,1.546
cotton,2.829,1.159
passion,2.839,1.526
essence,2.853,1.004
palace,2.967,1.402
pleasure,2.971,1.485
child,3.032,1.177
faith,3.061,1.071
candle,3.097,1.228
trust,3.147,1.353
strand,3.235,1.031
dinner,3.257,1.13
artist,3.265,1.22
ruffle,3.273,1.286
needle,3.286,1.232
consent,3.303,1.029
fame,3.303,1.314
suburb,3.333,1.106
leaf,3.353,1.108
leisure,3.371,1.267
spirit,3.382,1.306
carpet,3.4,0.962
seed,3.407,1.284
apple,3.424,0.954
mural,3.469,1.089
smear,3.5,1.399
lust,3.514,1.888
closure,3.563,1.116
complex,3.576,1.498
escort,3.629,1.532
issue,3.647,1.108
wisdom,3.656,1.533
stove,3.667,1.491
comb,3.677,1.529
pumpkin,3.706,1.016
parade,3.706,1.201
myth,3.706,1.273
impress,3.727,1.136
talent,3.727,1.136
portrait,3.735,1.22
shame,3.765,1.139
sweater,3.774,1.038
passage,3.807,0.858
justice,3.818,1.381
stretch,3.821,0.928
success,3.829,1.253
chest,3.844,1.46
cure,3.852,0.931
reason,3.853,1.191
chord,3.875,1.053
squeeze,3.875,1.166
goose,3.886,0.919
author,3.912,1.147
contempt,3.912,1.245
pause,3.939,0.736
ceiling,3.941,1.162
bowl,3.971,0.985
script,4,0.817
string,4.029,1.108
luggage,4.057,1.241
role,4.061,1.205
taboo,4.086,1.131
glacier,4.086,1.339
limit,4.088,0.702
toast,4.088,1.222
pelvis,4.088,1.401
disgust,4.091,1.264
hall,4.103,0.803
mug,4.121,1.148
zebra,4.129,1.07
monarch,4.152,1.672
picket,4.161,0.987
county,4.177,0.923
service,4.177,1.504
progress,4.182,0.903
slave,4.185,1.239
shrug,4.194,1.198
parrot,4.206,1.079
blood,4.212,0.977
concept,4.229,0.831
marvel,4.235,1.33
affair,4.235,1.816
hand,4.25,1.299
nuisance,4.257,1.295
packet,4.265,0.816
blister,4.265,1.12
blame,4.286,1.406
camp,4.313,1.158
plasma,4.343,1.094
knowledge,4.379,1.031
hammock,4.382,0.94
cease,4.394,1.013
saloon,4.424,1.415
neglect,4.429,0.994
snail,4.464,1.052
dandruff,4.469,1.299
duty,4.471,1.5
venom,4.515,1.209
incest,4.529,1.091
function,4.529,1.311
prestige,4.529,1.5
cattle,4.559,1.117
spinach,4.576,0.954
smell,4.588,1.216
bowel,4.606,0.983
crisis,4.629,1.098
hostage,4.629,1.333
phantom,4.667,1.005
outrage,4.677,1.693
reject,4.706,1.151
game,4.719,1.305
dare,4.727,1.188
sin,4.735,1.54
panther,4.743,1.317
tiger,4.765,1.535
method,4.771,1.098
castle,4.8,1.249
malice,4.824,1.07
typhoon,4.844,1.302
circuit,4.853,1.216
hate,4.857,1.268
pride,4.857,1.588
wrath,4.867,1.31
courage,4.882,1.255
anger,4.914,1.251
boast,4.939,1.254
guitar,4.964,1.052
status,4.969,1.447
grind,4.971,1.2
terror,5.088,1.121
usher,5.114,1.326
bulge,5.118,1.451
shaft,5.138,1.136
walrus,5.219,1.192
wood,5.235,1.059
fortress,5.242,1.538
ladder,5.265,0.949
treason,5.313,0.982
power,5.333,1.385
crude,5.345,1.026
mate,5.382,1.237
hit,5.429,1.05
cricket,5.529,1.007
police,5.546,1.076
greed,5.594,1.114
chauffeur,5.629,1.244
sword,5.829,1.028
wrestle,5.857,1.125
wallet,5.903,1.088
battle,6.091,0.933
husband,6.441,0.976
