gist,2.057,1.492
virtue,2.343,1.351
essence,2.471,1.631
complex,2.485,1.52
wisdom,2.5,1.696
doom,2.563,1.478
wish,2.581,1.582
concept,2.6,1.438
neutral,2.636,1.473
version,2.688,1.861
cease,2.719,1.441
mood,2.765,1.61
excuse,2.794,1.997
doctrine,2.839,1.483
cure,2.844,1.787
wrath,2.875,1.816
method,2.882,1.659
treason,2.969,1.63
reject,2.971,1.594
attempt,3,1.656
reason,3.029,1.765
service,3.057,1.62
risk,3.125,1.536
belief,3.143,1.775
myth,3.194,1.804
smell,3.206,1.906
spirit,3.29,2.188
hate,3.314,1.997
pity,3.344,1.881
transit,3.382,1.681
plea,3.4,1.839
pride,3.412,1.768
freedom,3.429,1.99
caution,3.441,1.718
luck,3.441,2.075
hope,3.5,1.883
plasma,3.515,1.909
justice,3.571,1.729
sin,3.618,1.91
whisper,3.625,1.867
vowel,3.645,1.993
gain,3.677,1.843
fuss,3.677,1.905
despair,3.706,1.918
methane,3.714,1.965
power,3.818,2.022
menace,3.857,1.641
crisis,3.912,1.772
bliss,3.938,1.802
flourish,3.941,1.924
neglect,4.057,1.926
fame,4.063,1.983
mischief,4.118,1.623
project,4.156,1.856
lust,4.171,1.949
console,4.177,1.839
disgust,4.242,1.596
cancer,4.333,2.04
terror,4.353,2.071
incest,4.412,2.198
affair,4.424,1.81
heaven,4.457,2.143
phantom,4.485,1.861
snort,4.486,1.519
glee,4.529,1.77
usher,4.571,1.841
item,4.647,1.908
tumble,4.706,1.758
lumber,4.719,2.168
product,4.735,1.884
anger,4.758,1.776
picket,4.828,1.62
romance,4.857,1.588
county,4.903,1.711
signal,4.914,1.697
camp,4.971,1.654
date,5,1.757
fleet,5.059,1.798
chord,5.088,1.837
bracket,5.161,1.725
chew,5.219,1.536
handle,5.265,1.668
shrug,5.294,1.544
smear,5.324,1.64
nectar,5.371,1.675
slum,5.387,1.452
mistress,5.412,1.784
squeeze,5.441,1.397
sentence,5.469,1.581
carcass,5.531,1.639
junk,5.571,1.42
column,5.636,1.554
troll,5.686,1.526
saloon,5.758,1.498
stab,5.788,1.32
husband,5.853,1.458
pupil,5.906,1.331
bead,5.909,1.505
rattle,5.912,1.597
applause,5.914,1.296
sleep,5.936,1.523
flea,5.938,1.499
picture,5.969,1.51
spring,5.971,1.361
cotton,6.029,1.082
spit,6.029,1.23
palace,6.033,1.251
fortress,6.094,1.331
line,6.114,1.45
blouse,6.121,1.472
treasure,6.143,1.018
string,6.143,1.312
person,6.147,1.216
parade,6.177,1.2
pheasant,6.177,1.294
cricket,6.182,1.167
seed,6.2,1.046
desert,6.219,1.293
basket,6.235,1.238
bandage,6.265,1.244
panther,6.265,1.481
garbage,6.286,1.232
goose,6.314,1.008
leaf,6.314,1.582
compass,6.324,1.387
princess,6.344,1.135
jungle,6.355,1.094
people,6.364,1.226
python,6.382,1.164
police,6.387,1.098
blood,6.412,1.115
bowl,6.424,1.207
glacier,6.441,0.847
mirror,6.471,1.194
mug,6.485,0.957
breast,6.5,0.883
tulip,6.514,1.251
cloak,6.529,0.848
necklace,6.543,0.84
ladder,6.543,0.996
balloon,6.581,0.834
ham,6.588,0.691
mother,6.594,0.785
fire,6.606,0.952
anchor,6.618,0.971
stove,6.618,0.971
trousers,6.629,0.959
parrot,6.636,0.771
comb,6.656,0.814
toilet,6.657,0.826
donkey,6.667,0.841
lobster,6.677,0.756
shirt,6.692,0.722
tiger,6.727,0.789
canoe,6.758,0.552
toast,6.758,0.74
sandwich,6.771,0.539
lettuce,6.794,0.583
zebra,6.813,0.583
