ant,1.5,1.091
bead,1.71,1.141
walnut,1.879,1.094
needle,2,1.586
seed,2.061,1.774
dandruff,2.156,1.46
candle,2.194,1.281
mug,2.235,1.214
whisper,2.25,1.392
ulcer,2.343,1.393
bracket,2.355,1.471
spinach,2.375,1.244
morsel,2.438,1.58
clover,2.457,1.556
sandwich,2.529,1.398
baby,2.546,1.689
strand,2.594,1.637
compass,2.636,1.298
toast,2.667,1.491
jewel,2.686,1.686
yeast,2.706,1.383
scalpel,2.714,1.578
pamphlet,2.719,1.419
melon,2.75,1.5
bonnet,2.781,1.166
bandage,2.8,1.45
crystal,2.8,1.582
basket,2.857,1.397
cotton,2.875,1.635
packet,2.914,1.204
hand,2.943,1.655
goose,2.971,1.363
pest,3.065,1.722
pupil,3.086,1.339
breakfast,3.118,1.529
ruffle,3.129,1.497
line,3.147,1.141
sentence,3.156,1.372
message,3.171,1.23
pumpkin,3.206,1.53
moment,3.226,2.059
squash,3.229,1.311
figment,3.233,1.838
balloon,3.265,1.559
moisture,3.281,1.505
cricket,3.294,1.654
canoe,3.382,1.553
reptile,3.4,1.534
waitress,3.412,1.458
plasma,3.441,1.684
aspect,3.471,1.576
cloak,3.486,1.422
bowel,3.529,1.44
toxin,3.529,1.786
carcass,3.533,1.5
trumpet,3.563,1.657
hammock,3.588,1.717
stove,3.625,1.576
methane,3.677,1.727
victim,3.686,1.753
limit,3.714,1.83
wood,3.727,1.763
settle,3.735,1.559
wit,3.742,1.48
texture,3.771,1.456
picture,3.794,1.301
dessert,3.824,1.806
hit,3.829,1.765
carpet,3.857,1.533
cuddle,3.886,1.563
knock,3.903,1.467
guitar,3.906,1.308
pension,3.906,1.444
nuisance,3.912,1.541
plea,3.941,1.662
ban,3.97,1.784
fuss,4,1.348
circuit,4,1.67
essence,4.029,1.524
chest,4.032,1.576
notion,4.032,1.694
method,4.059,1.136
asthma,4.059,1.413
mate,4.086,1.461
cottage,4.088,1.738
rubble,4.097,1.711
blood,4.118,1.659
merchant,4.133,1.231
slave,4.152,1.708
context,4.182,1.486
carriage,4.194,1.731
leopard,4.235,1.395
garbage,4.242,1.634
cattle,4.242,1.859
soldier,4.281,1.79
column,4.294,1.563
rain,4.303,1.766
lumber,4.323,1.532
class,4.343,1.689
verge,4.375,1.452
anchor,4.382,1.627
hostage,4.429,1.536
nurture,4.438,1.456
person,4.441,1.459
incest,4.455,1.908
sorrow,4.457,1.696
phantom,4.469,1.436
coffin,4.5,1.577
artist,4.515,1.417
bondage,4.516,1.521
troll,4.543,1.696
taboo,4.571,1.555
resort,4.613,1.58
malice,4.618,1.284
luck,4.657,1.866
delight,4.667,1.531
panther,4.677,1.387
husband,4.706,1.425
shame,4.706,1.758
town,4.719,1.441
bitch,4.735,1.54
virtue,4.743,1.662
python,4.788,1.683
island,4.824,1.977
dread,4.871,1.475
greed,4.906,1.528
neglect,4.912,1.652
walrus,4.939,1.687
wish,4.969,1.38
boast,4.97,1.314
feat,5.035,1.608
launch,5.094,1.355
pride,5.147,1.647
spirit,5.156,1.603
desert,5.188,2.053
fleet,5.212,1.754
faith,5.294,1.618
fame,5.313,1.758
fire,5.333,1.491
art,5.375,1.596
arson,5.394,1.229
talent,5.424,1.349
monster,5.441,1.538
mansion,5.452,1.623
hate,5.455,1.616
cure,5.5,1.414
giraffe,5.5,1.786
marvel,5.529,1.266
belief,5.529,1.46
sin,5.559,1.538
respect,5.571,1.05
monarch,5.576,1.393
power,5.677,1.532
cancer,5.71,1.59
hope,5.735,1.521
palace,5.774,1.453
kill,5.857,1.624
knowledge,5.875,1.293
glacier,5.909,1.694
fortress,6.03,1.243
crisis,6.059,1.162
freedom,6.143,1.268
typhoon,6.25,1.173
heaven,6.455,1.208
