flea,1.4,0.917
snail,1.71,1.022
button,1.818,0.936
comb,2.032,0.967
piece,2.118,1.132
leaf,2.121,1.122
lettuce,2.194,1.126
crab,2.206,1.079
whimper,2.25,1.25
tulip,2.324,1.021
chew,2.364,1.096
child,2.375,0.992
apple,2.441,1.241
rattle,2.441,1.397
tortoise,2.516,1.16
candy,2.571,1.316
cushion,2.588,1.286
blouse,2.656,1.189
wallet,2.677,1.28
blister,2.677,1.585
pint,2.697,1.167
apron,2.719,1.179
vowel,2.727,1.262
necklace,2.771,1.311
honey,2.8,1.064
shrug,2.8,1.348
nectar,2.853,1.216
smear,2.857,1.15
item,2.879,1.343
throat,2.912,1.095
handle,2.941,1.305
beggar,2.968,1.231
beer,3,1.474
shirt,3.094,1.208
lunch,3.118,1.388
trousers,3.121,1.365
cough,3.143,0.96
grind,3.152,1.158
toilet,3.2,0.98
lobster,3.2,1.283
caress,3.226,1.453
head,3.229,1.149
monkey,3.257,1.461
pause,3.281,1.205
tumble,3.294,1.404
snort,3.314,1.115
pillow,3.324,1.181
sweater,3.406,1.086
device,3.429,1.316
stomach,3.441,1.376
pelvis,3.471,1.311
puzzle,3.514,1.317
midst,3.529,1.218
squeeze,3.529,1.5
usher,3.543,1.25
pheasant,3.576,1.393
vulture,3.588,1.517
hostess,3.618,1.164
gist,3.677,1.548
camp,3.697,1.547
shaft,3.7,1.487
mirror,3.735,1.421
couch,3.742,1.396
phase,3.765,1.086
product,3.771,1.098
aisle,3.781,1.111
smell,3.8,1.618
excuse,3.849,1.54
table,3.875,1.364
ease,3.882,0.993
passage,3.9,1.165
bounce,3.906,1.182
neutral,3.909,0.9
fiction,3.939,1.391
signal,3.943,1.264
game,4,1.138
model,4,1.231
date,4,1.373
contract,4.029,1.424
metal,4.031,1.447
report,4.057,1.04
version,4.059,1.027
donkey,4.059,1.282
doubt,4.088,1.358
stock,4.091,1.379
whore,4.094,1.422
cease,4.125,1.536
punch,4.129,1.129
zebra,4.147,1.438
clergy,4.182,1.359
fault,4.206,1.389
costume,4.242,1.256
transit,4.242,1.371
prince,4.258,1.135
sleep,4.273,1.523
hurdle,4.294,1.044
office,4.313,1.402
console,4.324,1.322
wrestle,4.343,1.433
dance,4.382,1.261
reject,4.382,1.515
function,4.424,1.393
princess,4.438,1.345
farewell,4.441,1.217
stab,4.441,1.63
sister,4.457,1.592
hall,4.469,1.274
mischief,4.5,1.328
consent,4.515,1.234
urge,4.529,1.194
issue,4.529,1.242
glee,4.559,1.418
forge,4.613,1.183
dare,4.636,1.039
contempt,4.657,1.473
trend,4.667,1.385
project,4.677,1.118
leisure,4.706,1.177
ceiling,4.71,1.3
fraud,4.714,1.161
slope,4.735,1.4
affair,4.758,1.371
surgeon,4.771,1.416
tiger,4.794,1.728
suburb,4.879,1.343
caution,4.909,1.164
flourish,4.914,1.381
impress,4.939,1.127
duty,4.97,1.243
mammal,5,1.171
concept,5.086,1.273
status,5.118,1.022
trouble,5.143,0.93
blame,5.171,1.055
trust,5.177,1.581
mother,5.242,1.436
shark,5.262,1.395
wrath,5.313,1.488
pleasure,5.343,1.308
harvest,5.355,1.064
treason,5.382,1.112
prestige,5.441,0.945
lust,5.441,1.265
county,5.455,1.131
doctrine,5.484,1.292
romance,5.5,1.289
anger,5.515,1.104
guilt,5.529,1.144
ordeal,5.543,1.179
health,5.548,1.364
traffic,5.563,0.933
prison,5.613,1.183
wisdom,5.677,1.175
justice,5.714,1.209
doom,5.75,1.323
outrage,5.818,1.192
terror,5.853,1.216
triumph,5.879,1.094
courage,5.886,1.008
castle,5.97,1.058
battle,6.059,0.968
city,6.219,1.166
culture,6.25,0.829
jungle,6.313,0.808
