incest,1.441,0.735
kill,1.486,1.131
hate,1.618,1.306
doom,1.636,0.979
bitch,1.743,0.996
stab,1.853,1.331
coffin,2.029,1.2
arson,2.059,1.434
sin,2.059,1.846
reject,2.088,0.981
shame,2.294,1.099
battle,2.333,1.491
affair,2.438,1.321
trouble,2.457,1.317
anger,2.529,1.5
menace,2.571,1.226
carcass,2.6,1.428
wrath,2.636,1.772
monster,2.735,1.357
blame,2.743,1.203
hit,2.882,1.323
dandruff,2.903,1.399
ulcer,2.912,1.422
vulture,2.97,1.507
traffic,3,1.32
troll,3.029,1.298
taboo,3.206,1.255
typhoon,3.25,2
contempt,3.286,1.649
crude,3.364,1.367
mistress,3.455,1.616
risk,3.514,1.422
excuse,3.636,1.432
needle,3.677,1.277
shark,3.818,1.476
fire,3.849,1.877
snort,3.886,1.304
morsel,3.903,1.593
rain,3.971,1.823
bulge,4,1.723
grind,4.121,1.61
bandage,4.171,1.665
python,4.182,1.424
bondage,4.212,1.788
caution,4.229,1.692
smell,4.265,1.596
mischief,4.333,1.726
scalpel,4.515,1.306
police,4.516,2.367
wrestle,4.571,1.555
dare,4.606,1.391
verge,4.618,1.164
snail,4.645,0.969
clergy,4.727,1.462
shaft,4.727,1.746
suburb,4.788,1.43
soldier,4.813,2.098
doctrine,4.871,2.166
desert,4.9,1.739
bonnet,4.939,0.952
forge,4.969,1.447
mug,4.971,0.985
crab,5.029,0.774
myth,5.029,1.444
duty,5.029,1.618
phase,5.059,0.838
ruffle,5.059,1.187
escort,5.059,1.211
midst,5.065,0.84
figment,5.065,1.243
class,5.091,1.334
metal,5.097,0.817
mirror,5.118,1.255
spinach,5.125,1.691
slope,5.139,1.032
moisture,5.161,1.461
packet,5.177,1.124
donkey,5.182,0.968
wood,5.206,0.9
luggage,5.206,1.079
aisle,5.226,1.007
button,5.235,0.807
plasma,5.257,1.051
ham,5.257,1.499
glacier,5.286,1.406
chest,5.29,1.57
lobster,5.294,0.986
handle,5.303,1
mood,5.313,1.356
monarch,5.324,1.843
chew,5.333,1.172
cloak,5.361,1.294
vowel,5.367,1.016
fortress,5.394,1.413
merchant,5.4,0.879
stock,5.406,1.247
puzzle,5.429,1.517
project,5.469,1.199
lettuce,5.486,1.105
sweater,5.515,1.077
blouse,5.531,1
beer,5.543,1.762
lust,5.543,2.297
game,5.559,1.612
stove,5.588,1.24
settle,5.588,1.331
passage,5.625,1.293
walrus,5.629,1.354
trumpet,5.636,1.202
tiger,5.667,1.172
concept,5.686,1.26
fiction,5.697,1.381
feat,5.714,1.509
stretch,5.719,1.328
parrot,5.735,1.379
person,5.75,1.392
hammock,5.758,1.207
pint,5.765,1.373
chauffeur,5.765,1.535
power,5.781,2.218
costume,5.788,1.533
pension,5.788,1.629
moment,5.813,1.261
mammal,5.824,1.224
hand,5.829,1.32
console,5.857,1.659
employ,5.912,1.634
zebra,5.939,1.278
pride,5.943,2.461
service,5.971,1.445
squeeze,5.971,1.483
fame,6,2
chord,6.03,1.218
cottage,6.061,1.254
castle,6.065,1.48
essence,6.091,1.19
doctor,6.118,1.795
prince,6.161,1.547
child,6.194,1.512
palace,6.212,2.041
toast,6.294,1.466
people,6.333,1.385
surgeon,6.4,1.66
sister,6.4,1.76
consent,6.471,1.649
gain,6.531,1.785
baby,6.594,2.09
faith,6.636,2.158
mansion,6.645,1.597
belief,6.697,1.696
parade,6.8,1.489
dance,6.879,1.365
wish,6.938,1.6
progress,7,1.576
prestige,7.029,1.562
spring,7.118,1.409
jewel,7.143,1.552
nurture,7.177,1.361
dessert,7.2,1.879
princess,7.265,1.614
health,7.394,1.556
romance,7.486,1.73
justice,7.514,1.5
glee,7.618,1.456
virtue,7.618,1.553
treasure,7.824,1.224
luck,7.914,1.251
hope,8,1.306
bliss,8.091,1.264
wisdom,8.188,1.13
mother,8.314,1.141
